Methods	Samples	Features	Effect size	Date types	Evaluation
AAnew	20	100	1	abundant	TPR
wilcox	20	100	1	abundant	TPR
LinDA	20	100	1	abundant	TPR
MetagenomeSeq	20	100	1	abundant	TPR
LEfSe	20	100	1	abundant	TPR
edgeR	20	100	1	abundant	TPR
ALDEx2_wi	20	100	1	abundant	TPR
fastANCOM	20	100	1	abundant	TPR
DACOMP	20	100	1	abundant	TPR
ZicoSeq	20	100	1	abundant	TPR
limma_voom	20	100	1	abundant	TPR
DESeq2	20	100	1	abundant	TPR
Corncob	20	100	1	abundant	TPR
MaAsLin2	20	100	1	abundant	TPR
AAnew	50	100	1	abundant	TPR
wilcox	50	100	1	abundant	TPR
LinDA	50	100	1	abundant	TPR
MetagenomeSeq	50	100	1	abundant	TPR
LEfSe	50	100	1	abundant	TPR
edgeR	50	100	1	abundant	TPR
ALDEx2_wi	50	100	1	abundant	TPR
fastANCOM	50	100	1	abundant	TPR
DACOMP	50	100	1	abundant	TPR
ZicoSeq	50	100	1	abundant	TPR
limma_voom	50	100	1	abundant	TPR
DESeq2	50	100	1	abundant	TPR
Corncob	50	100	1	abundant	TPR
MaAsLin2	50	100	1	abundant	TPR
AAnew	100	100	1	abundant	TPR
wilcox	100	100	1	abundant	TPR
LinDA	100	100	1	abundant	TPR
MetagenomeSeq	100	100	1	abundant	TPR
LEfSe	100	100	1	abundant	TPR
edgeR	100	100	1	abundant	TPR
ALDEx2_wi	100	100	1	abundant	TPR
fastANCOM	100	100	1	abundant	TPR
DACOMP	100	100	1	abundant	TPR
ZicoSeq	100	100	1	abundant	TPR
limma_voom	100	100	1	abundant	TPR
DESeq2	100	100	1	abundant	TPR
Corncob	100	100	1	abundant	TPR
MaAsLin2	100	100	1	abundant	TPR
AAnew	200	100	1	abundant	TPR
wilcox	200	100	1	abundant	TPR
LinDA	200	100	1	abundant	TPR
MetagenomeSeq	200	100	1	abundant	TPR
LEfSe	200	100	1	abundant	TPR
edgeR	200	100	1	abundant	TPR
ALDEx2_wi	200	100	1	abundant	TPR
fastANCOM	200	100	1	abundant	TPR
DACOMP	200	100	1	abundant	TPR
ZicoSeq	200	100	1	abundant	TPR
limma_voom	200	100	1	abundant	TPR
DESeq2	200	100	1	abundant	TPR
Corncob	200	100	1	abundant	TPR
MaAsLin2	200	100	1	abundant	TPR
AAnew	300	100	1	abundant	TPR
wilcox	300	100	1	abundant	TPR
LinDA	300	100	1	abundant	TPR
MetagenomeSeq	300	100	1	abundant	TPR
LEfSe	300	100	1	abundant	TPR
edgeR	300	100	1	abundant	TPR
ALDEx2_wi	300	100	1	abundant	TPR
fastANCOM	300	100	1	abundant	TPR
DACOMP	300	100	1	abundant	TPR
ZicoSeq	300	100	1	abundant	TPR
limma_voom	300	100	1	abundant	TPR
DESeq2	300	100	1	abundant	TPR
Corncob	300	100	1	abundant	TPR
MaAsLin2	300	100	1	abundant	TPR
AAnew	500	100	1	abundant	TPR
wilcox	500	100	1	abundant	TPR
LinDA	500	100	1	abundant	TPR
MetagenomeSeq	500	100	1	abundant	TPR
LEfSe	500	100	1	abundant	TPR
edgeR	500	100	1	abundant	TPR
ALDEx2_wi	500	100	1	abundant	TPR
fastANCOM	500	100	1	abundant	TPR
DACOMP	500	100	1	abundant	TPR
ZicoSeq	500	100	1	abundant	TPR
limma_voom	500	100	1	abundant	TPR
DESeq2	500	100	1	abundant	TPR
Corncob	500	100	1	abundant	TPR
MaAsLin2	500	100	1	abundant	TPR
AAnew	20	100	2	abundant	TPR
wilcox	20	100	2	abundant	TPR
LinDA	20	100	2	abundant	TPR
MetagenomeSeq	20	100	2	abundant	TPR
LEfSe	20	100	2	abundant	TPR
edgeR	20	100	2	abundant	TPR
ALDEx2_wi	20	100	2	abundant	TPR
fastANCOM	20	100	2	abundant	TPR
DACOMP	20	100	2	abundant	TPR
ZicoSeq	20	100	2	abundant	TPR
limma_voom	20	100	2	abundant	TPR
DESeq2	20	100	2	abundant	TPR
Corncob	20	100	2	abundant	TPR
MaAsLin2	20	100	2	abundant	TPR
AAnew	50	100	2	abundant	TPR
wilcox	50	100	2	abundant	TPR
LinDA	50	100	2	abundant	TPR
MetagenomeSeq	50	100	2	abundant	TPR
LEfSe	50	100	2	abundant	TPR
edgeR	50	100	2	abundant	TPR
ALDEx2_wi	50	100	2	abundant	TPR
fastANCOM	50	100	2	abundant	TPR
DACOMP	50	100	2	abundant	TPR
ZicoSeq	50	100	2	abundant	TPR
limma_voom	50	100	2	abundant	TPR
DESeq2	50	100	2	abundant	TPR
Corncob	50	100	2	abundant	TPR
MaAsLin2	50	100	2	abundant	TPR
AAnew	100	100	2	abundant	TPR
wilcox	100	100	2	abundant	TPR
LinDA	100	100	2	abundant	TPR
MetagenomeSeq	100	100	2	abundant	TPR
LEfSe	100	100	2	abundant	TPR
edgeR	100	100	2	abundant	TPR
ALDEx2_wi	100	100	2	abundant	TPR
fastANCOM	100	100	2	abundant	TPR
DACOMP	100	100	2	abundant	TPR
ZicoSeq	100	100	2	abundant	TPR
limma_voom	100	100	2	abundant	TPR
DESeq2	100	100	2	abundant	TPR
Corncob	100	100	2	abundant	TPR
MaAsLin2	100	100	2	abundant	TPR
AAnew	200	100	2	abundant	TPR
wilcox	200	100	2	abundant	TPR
LinDA	200	100	2	abundant	TPR
MetagenomeSeq	200	100	2	abundant	TPR
LEfSe	200	100	2	abundant	TPR
edgeR	200	100	2	abundant	TPR
ALDEx2_wi	200	100	2	abundant	TPR
fastANCOM	200	100	2	abundant	TPR
DACOMP	200	100	2	abundant	TPR
ZicoSeq	200	100	2	abundant	TPR
limma_voom	200	100	2	abundant	TPR
DESeq2	200	100	2	abundant	TPR
Corncob	200	100	2	abundant	TPR
MaAsLin2	200	100	2	abundant	TPR
AAnew	300	100	2	abundant	TPR
wilcox	300	100	2	abundant	TPR
LinDA	300	100	2	abundant	TPR
MetagenomeSeq	300	100	2	abundant	TPR
LEfSe	300	100	2	abundant	TPR
edgeR	300	100	2	abundant	TPR
ALDEx2_wi	300	100	2	abundant	TPR
fastANCOM	300	100	2	abundant	TPR
DACOMP	300	100	2	abundant	TPR
ZicoSeq	300	100	2	abundant	TPR
limma_voom	300	100	2	abundant	TPR
DESeq2	300	100	2	abundant	TPR
Corncob	300	100	2	abundant	TPR
MaAsLin2	300	100	2	abundant	TPR
AAnew	500	100	2	abundant	TPR
wilcox	500	100	2	abundant	TPR
LinDA	500	100	2	abundant	TPR
MetagenomeSeq	500	100	2	abundant	TPR
LEfSe	500	100	2	abundant	TPR
edgeR	500	100	2	abundant	TPR
ALDEx2_wi	500	100	2	abundant	TPR
fastANCOM	500	100	2	abundant	TPR
DACOMP	500	100	2	abundant	TPR
ZicoSeq	500	100	2	abundant	TPR
limma_voom	500	100	2	abundant	TPR
DESeq2	500	100	2	abundant	TPR
Corncob	500	100	2	abundant	TPR
MaAsLin2	500	100	2	abundant	TPR
AAnew	20	100	5	abundant	TPR
wilcox	20	100	5	abundant	TPR
LinDA	20	100	5	abundant	TPR
MetagenomeSeq	20	100	5	abundant	TPR
LEfSe	20	100	5	abundant	TPR
edgeR	20	100	5	abundant	TPR
ALDEx2_wi	20	100	5	abundant	TPR
fastANCOM	20	100	5	abundant	TPR
DACOMP	20	100	5	abundant	TPR
ZicoSeq	20	100	5	abundant	TPR
limma_voom	20	100	5	abundant	TPR
DESeq2	20	100	5	abundant	TPR
Corncob	20	100	5	abundant	TPR
MaAsLin2	20	100	5	abundant	TPR
AAnew	50	100	5	abundant	TPR
wilcox	50	100	5	abundant	TPR
LinDA	50	100	5	abundant	TPR
MetagenomeSeq	50	100	5	abundant	TPR
LEfSe	50	100	5	abundant	TPR
edgeR	50	100	5	abundant	TPR
ALDEx2_wi	50	100	5	abundant	TPR
fastANCOM	50	100	5	abundant	TPR
DACOMP	50	100	5	abundant	TPR
ZicoSeq	50	100	5	abundant	TPR
limma_voom	50	100	5	abundant	TPR
DESeq2	50	100	5	abundant	TPR
Corncob	50	100	5	abundant	TPR
MaAsLin2	50	100	5	abundant	TPR
AAnew	100	100	5	abundant	TPR
wilcox	100	100	5	abundant	TPR
LinDA	100	100	5	abundant	TPR
MetagenomeSeq	100	100	5	abundant	TPR
LEfSe	100	100	5	abundant	TPR
edgeR	100	100	5	abundant	TPR
ALDEx2_wi	100	100	5	abundant	TPR
fastANCOM	100	100	5	abundant	TPR
DACOMP	100	100	5	abundant	TPR
ZicoSeq	100	100	5	abundant	TPR
limma_voom	100	100	5	abundant	TPR
DESeq2	100	100	5	abundant	TPR
Corncob	100	100	5	abundant	TPR
