name	Sample	OTU	effect	mean_TPR	mean_FPR
ALR	200	1000	1	0.0751	0.0504
ALR	200	1000	2	0.1268	0.030947368
ALR	200	1000	5	0.2616	0.017494737
ALR	200	1000	10	0.4648	0.010915789
wrench	200	1000	1	0.0234	0.027973684
wrench	200	1000	2	0.3852	0.029910526
wrench	200	1000	5	0.9824	0.050094737
wrench	200	1000	10	0.9959	0.061647368
TMM	200	1000	1	0.0364	0.040584211
TMM	200	1000	2	0.1988	0.0262
TMM	200	1000	5	0.7726	0.012221053
TMM	200	1000	10	0.9412	0.007947368
RLE	200	1000	1	0.0426	0.033310526
RLE	200	1000	2	0.1743	0.0178
RLE	200	1000	5	0.6625	0.014668421
RLE	200	1000	10	0.8652	0.008726316
GMPR	200	1000	1	0.0337	0.038847368
GMPR	200	1000	2	0.2011	0.025710526
GMPR	200	1000	5	0.7801	0.0135
GMPR	200	1000	10	0.9459	0.008484211
CLR	200	1000	1	0.0059	0.017673684
CLR	200	1000	2	0.0144	0.009189474
CLR	200	1000	5	0.1131	0.003226316
CLR	200	1000	10	0.3901	0.001236842
TSS	200	1000	1	0.0429	0.116077778
TSS	200	1000	2	0.2211	0.068655556
TSS	200	1000	5	0.8254	0.031544444
TSS	200	1000	10	0.9552	0.016066667
wrench	200	200	1	0.007	0.001641414
wrench	200	200	2	0.4615	0.002449495
wrench	200	200	5	0.987	0.005520202
wrench	200	200	10	1	0.003323232
TMM	200	200	1	0.01	0.001873737
TMM	200	200	2	0.269	0.002030303
TMM	200	200	5	0.9095	0.00119697
TMM	200	200	10	0.9865	0.001126263
RLE	200	200	1	0.008	0.002474747
RLE	200	200	2	0.2775	0.00270202
RLE	200	200	5	0.8845	0.002176768
RLE	200	200	10	0.9755	0.002207071
GMPR	200	200	1	0.0095	0.001227273
GMPR	200	200	2	0.3235	0.000944444
GMPR	200	200	5	0.902	0.001070707
GMPR	200	200	10	0.985	0.000570707
CLR	200	200	1	0	2.53E-05
CLR	200	200	2	0	5.05E-06
CLR	200	200	5	0.006	0
CLR	200	200	10	0.0725	0
ALR	200	200	1	0.063	0.006267677
ALR	200	200	2	0.078	0.003353535
ALR	200	200	5	0.1515	0.002439394
ALR	200	200	10	0.268	0.002045455
TSS	200	200	1	0.002	0.024388889
TSS	200	200	2	0.2895	0.017222222
TSS	200	200	5	0.93	0.018444444
TSS	200	200	10	0.9945	0.006444444
wrench	200	500	1	0.0132	0.004533333
wrench	200	500	2	0.4816	0.0046
wrench	200	500	5	0.9916	0.006897436
wrench	200	500	10	0.999	0.006635897
TMM	200	500	1	0.0158	0.007010256
TMM	200	500	2	0.252	0.003020513
TMM	200	500	5	0.8962	0.003015385
TMM	200	500	10	0.9808	0.001061538
RLE	200	500	1	0.015	0.007138462
RLE	200	500	2	0.2332	0.004071795
RLE	200	500	5	0.8482	0.005753846
RLE	200	500	10	0.9614	0.001153846
GMPR	200	500	1	0.0128	0.006748718
GMPR	200	500	2	0.2606	0.003030769
GMPR	200	500	5	0.9084	0.002928205
GMPR	200	500	10	0.9852	0.001164103
CLR	200	500	1	6.00E-04	0.000430769
CLR	200	500	2	0.0012	0.000107692
CLR	200	500	5	0.032	2.05E-05
CLR	200	500	10	0.2276	0
ALR	200	500	1	0.0598	0.014030769
ALR	200	500	2	0.0816	0.009794872
ALR	200	500	5	0.2262	0.006374359
ALR	200	500	10	0.359	0.00394359
TSS	200	500	1	0.0096	0.030911111
TSS	200	500	2	0.2986	0.018622222
TSS	200	500	5	0.9198	0.008822222
TSS	200	500	10	0.985	0.003288889
ALR	50	1000	1	0.1076	0.085221053
ALR	50	1000	2	0.1842	0.068931579
ALR	50	1000	5	0.339	0.040605263
ALR	50	1000	10	0.5011	0.027231579
wrench	50	1000	1	0.0844	0.1021
wrench	50	1000	2	0.3297	0.092752632
wrench	50	1000	5	0.7653	0.074552632
wrench	50	1000	10	0.8987	0.064236842
TMM	50	1000	1	0.0985	0.111147368
TMM	50	1000	2	0.3028	0.093621053
TMM	50	1000	5	0.6754	0.066768421
