name	Sample	OTU	effect	mean_Precision	mean_TPR
ALR	200	1000	1	0.071885809	0.0751
ALR	200	1000	2	0.184763613	0.1268
ALR	200	1000	5	0.471501392	0.2616
ALR	200	1000	10	0.728172032	0.4648
wrench	200	1000	1	0.038425806	0.0234
wrench	200	1000	2	0.425249588	0.3852
wrench	200	1000	5	0.608741393	0.9824
wrench	200	1000	10	0.543226979	0.9959
TMM	200	1000	1	0.043591866	0.0364
TMM	200	1000	2	0.31889029	0.1988
TMM	200	1000	5	0.777294601	0.7726
TMM	200	1000	10	0.867992758	0.9412
RLE	200	1000	1	0.061747118	0.0426
RLE	200	1000	2	0.366461586	0.1743
RLE	200	1000	5	0.762757636	0.6625
RLE	200	1000	10	0.861166593	0.8652
GMPR	200	1000	1	0.041416588	0.0337
GMPR	200	1000	2	0.321536584	0.2011
GMPR	200	1000	5	0.766526322	0.7801
GMPR	200	1000	10	0.860362987	0.9459
CLR	200	1000	1	0.014982235	0.0059
CLR	200	1000	2	0.095038846	0.0144
CLR	200	1000	5	0.653281101	0.1131
CLR	200	1000	10	0.943287729	0.3901
TSS	200	1000	1	0.039135894	0.0429
TSS	200	1000	2	0.279863654	0.2211
TSS	200	1000	5	0.755804688	0.8254
TSS	200	1000	10	0.872172429	0.9552
wrench	200	200	1	0.036928571	0.007
wrench	200	200	2	0.693925211	0.4615
wrench	200	200	5	0.766100666	0.987
wrench	200	200	10	0.817271264	1
TMM	200	200	1	0.03904304	0.01
TMM	200	200	2	0.625514819	0.269
TMM	200	200	5	0.906817379	0.9095
TMM	200	200	10	0.935163414	0.9865
RLE	200	200	1	0.038362485	0.008
RLE	200	200	2	0.620020298	0.2775
RLE	200	200	5	0.855858669	0.8845
RLE	200	200	10	0.87247276	0.9755
GMPR	200	200	1	0.073857143	0.0095
GMPR	200	200	2	0.795360754	0.3235
GMPR	200	200	5	0.913160462	0.902
GMPR	200	200	10	0.960453663	0.985
CLR	200	200	1	0	0
CLR	200	200	2	0	0
CLR	200	200	5	0.12	0.006
CLR	200	200	10	0.67	0.0725
ALR	200	200	1	0.092144932	0.063
ALR	200	200	2	0.178461606	0.078
ALR	200	200	5	0.433277098	0.1515
ALR	200	200	10	0.640071186	0.268
TSS	200	200	1	0.008686869	0.002
TSS	200	200	2	0.666510766	0.2895
TSS	200	200	5	0.870505331	0.93
TSS	200	200	10	0.953737853	0.9945
wrench	200	500	1	0.065199769	0.0132
wrench	200	500	2	0.752858447	0.4816
wrench	200	500	5	0.824493169	0.9916
wrench	200	500	10	0.838143897	0.999
TMM	200	500	1	0.075034342	0.0158
TMM	200	500	2	0.727640198	0.252
TMM	200	500	5	0.908276979	0.8962
TMM	200	500	10	0.966066973	0.9808
RLE	200	500	1	0.054924452	0.015
RLE	200	500	2	0.700193265	0.2332
RLE	200	500	5	0.867407144	0.8482
RLE	200	500	10	0.964666041	0.9614
GMPR	200	500	1	0.046870567	0.0128
GMPR	200	500	2	0.717473128	0.2606
GMPR	200	500	5	0.903371299	0.9084
GMPR	200	500	10	0.962041145	0.9852
CLR	200	500	1	0.007666667	6.00E-04
CLR	200	500	2	0.044	0.0012
CLR	200	500	5	0.691904762	0.032
CLR	200	500	10	1	0.2276
ALR	200	500	1	0.087287013	0.0598
ALR	200	500	2	0.188248057	0.0816
ALR	200	500	5	0.540322151	0.2262
ALR	200	500	10	0.736489325	0.359
TSS	200	500	1	0.035291852	0.0096
TSS	200	500	2	0.653402255	0.2986
TSS	200	500	5	0.925839072	0.9198
TSS	200	500	10	0.97274987	0.985
ALR	50	1000	1	0.06618075	0.1076
ALR	50	1000	2	0.139809437	0.1842
ALR	50	1000	5	0.346485661	0.339
ALR	50	1000	10	0.537539101	0.5011
wrench	50	1000	1	0.040886705	0.0844
wrench	50	1000	2	0.155918843	0.3297
wrench	50	1000	5	0.355903196	0.7653
wrench	50	1000	10	0.436149382	0.8987
TMM	50	1000	1	0.043488685	0.0985
TMM	50	1000	2	0.145022761	0.3028
TMM	50	1000	5	0.348858234	0.6754
TMM	50	1000	10	0.449173175	0.8386
RLE	50	1000	1	0.047966956	0.1079
RLE	50	1000	2	0.133834421	0.2721
RLE	50	1000	5	0.321164583	0.6072
RLE	50	1000	10	0.430541174	0.7682
GMPR	50	1000	1	0.04464154	0.101
GMPR	50	1000	2	0.144219127	0.3068
GMPR	50	1000	5	0.348192538	0.6918
GMPR	50	1000	10	0.447004528	0.8356
CLR	50	1000	1	0.122059345	0.7311
CLR	50	1000	2	0.147874824	0.885
CLR	50	1000	5	0.202104492	0.925757576
CLR	50	1000	10	0.280832786	0.9428
TSS	50	1000	1	0.043051464	0.1045
TSS	50	1000	2	0.148175779	0.33
TSS	50	1000	5	0.34785804	0.732
TSS	50	1000	10	0.453248517	0.8643
wrench	50	200	1	0.050645721	0.05
wrench	50	200	2	0.378033207	0.4285
wrench	50	200	5	0.600202026	0.916
wrench	50	200	10	0.693082	0.9845
TMM	50	200	1	0.041552741	0.0505
TMM	50	200	2	0.342957057	0.333
TMM	50	200	5	0.673669657	0.837
TMM	50	200	10	0.817588028	0.9365
RLE	50	200	1	0.039449991	0.062
RLE	50	200	2	0.305123544	0.2805
RLE	50	200	5	0.641157277	0.7725
RLE	50	200	10	0.793179465	0.905
GMPR	50	200	1	0.045603907	0.048
GMPR	50	200	2	0.41907237	0.337
GMPR	50	200	5	0.710876476	0.8315
GMPR	50	200	10	0.842682644	0.9435
CLR	50	200	1	0.100539405	0.5685
CLR	50	200	2	0.144872627	0.6515
CLR	50	200	5	0.25702956	0.7445
CLR	50	200	10	0.390407393	0.817
ALR	50	200	1	0.087619959	0.1
ALR	50	200	2	0.155322873	0.1385
ALR	50	200	5	0.304915122	0.1965
ALR	50	200	10	0.469638393	0.2875
TSS	50	200	1	0.039797969	0.0405
TSS	50	200	2	0.33681646	0.332
TSS	50	200	5	0.721511548	0.8655
TSS	50	200	10	0.817547175	0.9635
wrench	50	500	1	0.05468411	0.0564
wrench	50	500	2	0.337954809	0.423
wrench	50	500	5	0.560907736	0.9198
wrench	50	500	10	0.617519353	0.9732
TMM	50	500	1	0.052523531	0.0682
TMM	50	500	2	0.307955753	0.3322
TMM	50	500	5	0.647940205	0.8042
TMM	50	500	10	0.779593807	0.9252
RLE	50	500	1	0.049329114	0.078
RLE	50	500	2	0.284048314	0.2982
RLE	50	500	5	0.631275555	0.7472
RLE	50	500	10	0.751489708	0.8862
GMPR	50	500	1	0.050121267	0.0704
GMPR	50	500	2	0.316537999	0.359
GMPR	50	500	5	0.642304171	0.8218
GMPR	50	500	10	0.772402431	0.9262
CLR	50	500	1	0.10831825	0.606
CLR	50	500	2	0.167135515	0.7296
CLR	50	500	5	0.312456199	0.8336
CLR	50	500	10	0.406636964	0.8936
ALR	50	500	1	0.082547891	0.0928
ALR	50	500	2	0.173649886	0.161
ALR	50	500	5	0.384447037	0.2734
ALR	50	500	10	0.544834938	0.4194
TSS	50	500	1	0.039603381	0.0532
TSS	50	500	2	0.309678158	0.3836
TSS	50	500	5	0.639543539	0.841
TSS	50	500	10	0.765503457	0.939
ALR	500	1000	1	0.082923843	0.056
ALR	500	1000	2	0.220947292	0.1094
ALR	500	1000	5	0.527757317	0.2565
ALR	500	1000	10	0.745583367	0.4463
wrench	500	1000	1	0.031227023	0.0144
wrench	500	1000	2	0.501943496	0.404
wrench	500	1000	5	0.581898692	0.998
wrench	500	1000	10	0.508612855	1
TMM	500	1000	1	0.028136605	0.0157
TMM	500	1000	2	0.438737664	0.1635
TMM	500	1000	5	0.921761189	0.8463
TMM	500	1000	10	0.968905125	0.9785
RLE	500	1000	1	0.053207378	0.0173
RLE	500	1000	2	0.579756954	0.1836
RLE	500	1000	5	0.896679261	0.7867
RLE	500	1000	10	0.963627629	0.9472
GMPR	500	1000	1	0.023056567	0.0109
GMPR	500	1000	2	0.459741007	0.1599
GMPR	500	1000	5	0.92390645	0.8518
GMPR	500	1000	10	0.969891521	0.984
CLR	500	1000	1	0.004957824	7.00E-04
CLR	500	1000	2	0.092734127	0.0038
CLR	500	1000	5	0.678797619	0.0236
CLR	500	1000	10	0.992208615	0.2921
TSS	500	1000	1	0.016441621	0.0134
TSS	500	1000	2	0.447445193	0.1638
TSS	500	1000	5	0.923991468	0.8705
TSS	500	1000	10	0.972675818	0.9881
wrench	500	200	1	0.0285	0.004
wrench	500	200	2	0.782043478	0.4135
wrench	500	200	5	0.76589725	0.9975
wrench	500	200	10	0.788800108	1
TMM	500	200	1	0.007777778	0.0015
TMM	500	200	2	0.733721984	0.23
TMM	500	200	5	0.889654284	0.9545
TMM	500	200	10	0.94319375	0.996
RLE	500	200	1	0.0075	0.001
RLE	500	200	2	0.729686562	0.2215
RLE	500	200	5	0.863755102	0.941
RLE	500	200	10	0.913923105	0.986
GMPR	500	200	1	0.010833333	0.002
GMPR	500	200	2	0.854145771	0.305
GMPR	500	200	5	0.920868994	0.94
GMPR	500	200	10	0.954759019	0.993
CLR	500	200	1	0	0
CLR	500	200	2	0	0
CLR	500	200	5	0.01	5.00E-04
CLR	500	200	10	0.48	0.038
ALR	500	200	1	0.113131659	0.0645
ALR	500	200	2	0.195710106	0.082
ALR	500	200	5	0.428155792	0.1675
ALR	500	200	10	0.687527295	0.2285
TSS	500	200	1	0.005	0.001
TSS	500	200	2	0.814155372	0.2735
TSS	500	200	5	0.862791285	0.955
TSS	500	200	10	0.961871184	0.998
wrench	500	500	1	0.040982906	0.0046
wrench	500	500	2	0.847451034	0.5038
wrench	500	500	5	0.848254934	0.9982
wrench	500	500	10	0.860848517	1
TMM	500	500	1	0.042060245	0.0038
TMM	500	500	2	0.847368224	0.2372
TMM	500	500	5	0.964393656	0.9382
TMM	500	500	10	0.98225773	0.9936
RLE	500	500	1	0.042429346	0.0038
RLE	500	500	2	0.790257654	0.2716
RLE	500	500	5	0.94953244	0.9232
RLE	500	500	10	0.955762414	0.986326531
GMPR	500	500	1	0.031873016	0.0024
GMPR	500	500	2	0.837392589	0.237
GMPR	500	500	5	0.956986457	0.9442
GMPR	500	500	10	0.982854842	0.995
CLR	500	500	1	0	0
CLR	500	500	2	0	0
CLR	500	500	5	0.36	0.012
CLR	500	500	10	1	0.1896
ALR	500	500	1	0.092075158	0.0516
ALR	500	500	2	0.221880679	0.0982
ALR	500	500	5	0.537729208	0.2016
ALR	500	500	10	0.778754105	0.3514
TSS	500	500	1	0.015098596	0.003
TSS	500	500	2	0.812881589	0.237
TSS	500	500	5	0.969257369	0.948
TSS	500	500	10	0.983393474	0.9956
