name	sample	otu	sampleotu	type	effect	mean_Accuracy	sd_Accuracy	mean_Precision	sd_Precision	mean_TPR	sd_TPR	mean_F1_score	sd_F1_score	mean_FPR	sd_FPR	mean_Specificity	sd_Specificity	mean_FDR	sd_FDR
wrench	50	500	50_500	abundant	1	0.953485	0.00613915	0.05468411	0.038447018	0.0564	0.045605245	0.05442405	0.040107352	0.023512821	0.006799183	0.976487179	0.006799183	0.94531589	0.038447018
wrench	200	500	200_500	abundant	1	0.97091	0.002834118	0.065199769	0.105284901	0.0132	0.018903263	0.020978435	0.029400326	0.004533333	0.003033204	0.995466667	0.003033204	0.924800231	0.140597807
wrench	500	500	500_500	abundant	1	0.97343	0.001482252	0.040982906	0.132190945	0.0046	0.011670562	0.008000079	0.020387003	0.001728205	0.00159801	0.998271795	0.00159801	0.799017094	0.374145723
wrench	50	500	50_500	abundant	2	0.964035	0.008171537	0.337954809	0.07379776	0.423	0.134160314	0.366083165	0.080991904	0.022092308	0.010095258	0.977907692	0.010095258	0.662045191	0.07379776
wrench	200	500	200_500	abundant	2	0.982555	0.003557532	0.752858447	0.128627669	0.4816	0.102875035	0.576836424	0.084479312	0.0046	0.003517952	0.9954	0.003517952	0.247141553	0.128627669
wrench	500	500	500_500	abundant	2	0.985235	0.002871362	0.847451034	0.091298502	0.5038	0.091351027	0.627175322	0.082256023	0.002420513	0.00165264	0.997579487	0.00165264	0.152548966	0.091298502
wrench	50	500	50_500	abundant	5	0.97538	0.02022676	0.560907736	0.137789546	0.9198	0.056675222	0.68396975	0.120380546	0.023194872	0.021082337	0.976805128	0.021082337	0.439092264	0.137789546
wrench	200	500	200_500	abundant	5	0.993065	0.008583122	0.824493169	0.145077742	0.9916	0.014820134	0.89232481	0.101903142	0.006897436	0.008783481	0.993102564	0.008783481	0.175506831	0.145077742
wrench	500	500	500_500	abundant	5	0.993345	0.013128867	0.848254934	0.154941259	0.9982	0.006416519	0.907589686	0.115169673	0.006779487	0.013478102	0.993220513	0.013478102	0.151745066	0.154941259
wrench	50	500	50_500	abundant	10	0.98037	0.019203275	0.617519353	0.139256618	0.9732	0.025460605	0.744699284	0.121762633	0.019446154	0.019736095	0.980553846	0.019736095	0.382480647	0.139256618
wrench	200	500	200_500	abundant	10	0.993505	0.010409906	0.838143897	0.144263094	0.999	0.005945884	0.903487544	0.105044352	0.006635897	0.010672926	0.993364103	0.010672926	0.161856103	0.144263094
wrench	500	500	500_500	abundant	10	0.99469	0.008917348	0.860848517	0.132617177	1	0	0.918621261	0.094358672	0.005446154	0.009145998	0.994553846	0.009145998	0.139151483	0.132617177
