name	Sample	OTU	effect	mean_TPR	mean_FPR
AAnew_TSS	20	200	1	0.125	0.223469388
AAnew_TSS	20	200	2	0.4046875	0.168460648
AAnew_TSS	20	200	5	0.814736842	0.11748538
AAnew_TSS	20	100	1	0.087368421	0.161520468
AAnew_TSS	50	100	1	0.019	0.075888889
AAnew_TSS	100	100	1	0.002	0.036555556
AAnew_TSS	200	100	1	0.001	0.018666667
AAnew_TSS	300	100	1	0	0.010444444
AAnew_TSS	500	100	1	0	0.005777778
AAnew_TSS	20	100	2	0.462886598	0.122680412
AAnew_TSS	50	100	2	0.425	0.054222222
AAnew_TSS	100	100	2	0.426	0.033777778
AAnew_TSS	200	100	2	0.384	0.015777778
AAnew_TSS	300	100	2	0.401	0.014444444
AAnew_TSS	500	100	2	0.339	0.009
AAnew_TSS	20	100	5	0.901041667	0.075
AAnew_TSS	50	100	5	0.956	0.047222222
AAnew_TSS	100	100	5	0.974	0.029333333
AAnew_TSS	200	100	5	0.978	0.034333333
AAnew_TSS	300	100	5	0.984	0.025666667
AAnew_TSS	500	100	5	0.986	0.027
AAnew_TSS	20	100	10	0.980612245	0.050680272
AAnew_TSS	50	100	10	0.99	0.020888889
AAnew_TSS	100	100	10	0.994	0.012
AAnew_TSS	200	100	10	0.999	0.016111111
AAnew_TSS	300	100	10	1	0.015111111
AAnew_TSS	500	100	10	1	0.013111111
AAnew_TSS	50	200	1	0.0405	0.108444444
AAnew_TSS	100	200	1	0.0175	0.056166667
AAnew_TSS	200	200	1	0.002	0.024388889
AAnew_TSS	300	200	1	0.004	0.017833333
AAnew_TSS	500	200	1	0.001	0.011611111
AAnew_TSS	50	200	2	0.332	0.076222222
AAnew_TSS	100	200	2	0.3455	0.038722222
AAnew_TSS	200	200	2	0.2895	0.017222222
AAnew_TSS	300	200	2	0.2645	0.010944444
AAnew_TSS	500	200	2	0.2735	0.006388889
AAnew_TSS	50	200	5	0.8655	0.040555556
AAnew_TSS	100	200	5	0.906	0.029722222
AAnew_TSS	200	200	5	0.93	0.018444444
AAnew_TSS	300	200	5	0.9465	0.015
AAnew_TSS	500	200	5	0.955	0.020555556
AAnew_TSS	20	200	10	0.914893617	0.089184397
AAnew_TSS	50	200	10	0.9635	0.027944444
AAnew_TSS	100	200	10	0.9825	0.011055556
AAnew_TSS	200	200	10	0.9945	0.006444444
AAnew_TSS	300	200	10	0.995	0.010944444
AAnew_TSS	500	200	10	0.998	0.005666667
AAnew_TSS	20	300	1	0.145390071	0.245902285
AAnew_TSS	50	300	1	0.059666667	0.136555556
AAnew_TSS	100	300	1	0.029666667	0.063037037
AAnew_TSS	200	300	1	0.013666667	0.030740741
AAnew_TSS	300	300	1	0.007666667	0.022814815
AAnew_TSS	500	300	1	0.009333333	0.017666667
AAnew_TSS	20	300	2	0.397192982	0.189980507
AAnew_TSS	50	300	2	0.359333333	0.095592593
AAnew_TSS	100	300	2	0.318333333	0.034111111
AAnew_TSS	200	300	2	0.279666667	0.018481481
AAnew_TSS	300	300	2	0.254333333	0.010259259
AAnew_TSS	500	300	2	0.213333333	0.004703704
AAnew_TSS	20	300	5	0.753666667	0.134111111
AAnew_TSS	50	300	5	0.832666667	0.055481481
AAnew_TSS	100	300	5	0.868666667	0.022333333
AAnew_TSS	200	300	5	0.904	0.018148148
AAnew_TSS	300	300	5	0.917	0.012666667
AAnew_TSS	500	300	5	0.933666667	0.010111111
AAnew_TSS	20	300	10	0.872340426	0.11249015
AAnew_TSS	50	300	10	0.937	0.030111111
AAnew_TSS	100	300	10	0.963666667	0.011481481
AAnew_TSS	200	300	10	0.984333333	0.005259259
AAnew_TSS	300	300	10	0.988333333	0.006592593
AAnew_TSS	500	300	10	0.995	0.003888889
AAnew_TSS	20	400	1	0.132631579	0.24505848
AAnew_TSS	50	400	1	0.0585	0.132888889
AAnew_TSS	100	400	1	0.02575	0.066222222
AAnew_TSS	200	400	1	0.01525	0.034722222
AAnew_TSS	300	400	1	0.0095	0.024833333
AAnew_TSS	500	400	1	0.00475	0.014472222
AAnew_TSS	20	400	2	0.392268041	0.186340206
AAnew_TSS	50	400	2	0.37175	0.094805556
AAnew_TSS	100	400	2	0.3235	0.039972222
AAnew_TSS	200	400	2	0.3	0.017222222
AAnew_TSS	300	400	2	0.26625	0.011666667
AAnew_TSS	500	400	2	0.22925	0.006527778
AAnew_TSS	20	400	5	0.765885417	0.136747685
AAnew_TSS	50	400	5	0.84325	0.053777778
AAnew_TSS	100	400	5	0.89175	0.019833333
AAnew_TSS	200	400	5	0.9185	0.008972222
AAnew_TSS	300	400	5	0.939	0.008583333
AAnew_TSS	500	400	5	0.94675	0.006138889
AAnew_TSS	20	400	10	0.879639175	0.110423826
AAnew_TSS	50	400	10	0.9425	0.031138889
AAnew_TSS	100	400	10	0.96725	0.010638889
AAnew_TSS	200	400	10	0.9925	0.004305556
AAnew_TSS	300	400	10	0.9905	0.003444444
AAnew_TSS	500	400	10	0.996	0.002305556
AAnew_TSS	20	500	1	0.135208333	0.234398148
