name	Sample	OTU	effect	mean_Precision	mean_TPR
AAnew_TSS	20	200	1	0.057617345	0.125
AAnew_TSS	20	200	2	0.215755077	0.4046875
AAnew_TSS	20	200	5	0.446249127	0.814736842
AAnew_TSS	20	100	1	0.057260572	0.087368421
AAnew_TSS	50	100	1	0.034910714	0.019
AAnew_TSS	100	100	1	0.011666667	0.002
AAnew_TSS	200	100	1	0.005	0.001
AAnew_TSS	300	100	1	0	0
AAnew_TSS	500	100	1	0	0
AAnew_TSS	20	100	2	0.307867113	0.462886598
AAnew_TSS	50	100	2	0.484198819	0.425
AAnew_TSS	100	100	2	0.621688728	0.426
AAnew_TSS	200	100	2	0.747573593	0.384
AAnew_TSS	300	100	2	0.750444444	0.401
AAnew_TSS	500	100	2	0.795607143	0.339
AAnew_TSS	20	100	5	0.594141119	0.901041667
AAnew_TSS	50	100	5	0.72966052	0.956
AAnew_TSS	100	100	5	0.822548955	0.974
AAnew_TSS	200	100	5	0.807973393	0.978
AAnew_TSS	300	100	5	0.855158218	0.984
AAnew_TSS	500	100	5	0.850362326	0.986
AAnew_TSS	20	100	10	0.704857709	0.980612245
AAnew_TSS	50	100	10	0.855793275	0.99
AAnew_TSS	100	100	10	0.921414035	0.994
AAnew_TSS	200	100	10	0.90454677	0.999
AAnew_TSS	300	100	10	0.910525436	1
AAnew_TSS	500	100	10	0.924445303	1
AAnew_TSS	50	200	1	0.039797969	0.0405
AAnew_TSS	100	200	1	0.031815717	0.0175
AAnew_TSS	200	200	1	0.008686869	0.002
AAnew_TSS	300	200	1	0.017392857	0.004
AAnew_TSS	500	200	1	0.005	0.001
AAnew_TSS	50	200	2	0.33681646	0.332
AAnew_TSS	100	200	2	0.515888223	0.3455
AAnew_TSS	200	200	2	0.666510766	0.2895
AAnew_TSS	300	200	2	0.732368881	0.2645
AAnew_TSS	500	200	2	0.814155372	0.2735
AAnew_TSS	50	200	5	0.721511548	0.8655
AAnew_TSS	100	200	5	0.800174295	0.906
AAnew_TSS	200	200	5	0.870505331	0.93
AAnew_TSS	300	200	5	0.894175099	0.9465
AAnew_TSS	500	200	5	0.862791285	0.955
AAnew_TSS	20	200	10	0.546727048	0.914893617
AAnew_TSS	50	200	10	0.817547175	0.9635
AAnew_TSS	100	200	10	0.917172885	0.9825
AAnew_TSS	200	200	10	0.953737853	0.9945
AAnew_TSS	300	200	10	0.925640734	0.995
AAnew_TSS	500	200	10	0.961871184	0.998
AAnew_TSS	20	300	1	0.061290019	0.145390071
AAnew_TSS	50	300	1	0.045354346	0.059666667
AAnew_TSS	100	300	1	0.045420197	0.029666667
AAnew_TSS	200	300	1	0.04898779	0.013666667
AAnew_TSS	300	300	1	0.029021945	0.007666667
AAnew_TSS	500	300	1	0.041428571	0.009333333
AAnew_TSS	20	300	2	0.190957442	0.397192982
AAnew_TSS	50	300	2	0.305382802	0.359333333
AAnew_TSS	100	300	2	0.518229606	0.318333333
AAnew_TSS	200	300	2	0.644157928	0.279666667
AAnew_TSS	300	300	2	0.744109941	0.254333333
AAnew_TSS	500	300	2	0.82403194	0.213333333
AAnew_TSS	20	300	5	0.389669247	0.753666667
AAnew_TSS	50	300	5	0.646900202	0.832666667
AAnew_TSS	100	300	5	0.823482416	0.868666667
AAnew_TSS	200	300	5	0.867962242	0.904
AAnew_TSS	300	300	5	0.910228945	0.917
AAnew_TSS	500	300	5	0.924521462	0.933666667
AAnew_TSS	20	300	10	0.473021332	0.872340426
AAnew_TSS	50	300	10	0.78518866	0.937
AAnew_TSS	100	300	10	0.911537039	0.963666667
AAnew_TSS	200	300	10	0.96032837	0.984333333
AAnew_TSS	300	300	10	0.958129811	0.988333333
AAnew_TSS	500	300	10	0.975506357	0.995
AAnew_TSS	20	400	1	0.056468652	0.132631579
AAnew_TSS	50	400	1	0.045130549	0.0585
AAnew_TSS	100	400	1	0.039249016	0.02575
AAnew_TSS	200	400	1	0.051291131	0.01525
AAnew_TSS	300	400	1	0.042273308	0.0095
AAnew_TSS	500	400	1	0.034076479	0.00475
AAnew_TSS	20	400	2	0.192496886	0.392268041
AAnew_TSS	50	400	2	0.308660646	0.37175
AAnew_TSS	100	400	2	0.486004293	0.3235
AAnew_TSS	200	400	2	0.669154148	0.3
AAnew_TSS	300	400	2	0.73118358	0.26625
AAnew_TSS	500	400	2	0.798348657	0.22925
AAnew_TSS	20	400	5	0.390712775	0.765885417
AAnew_TSS	50	400	5	0.645879936	0.84325
AAnew_TSS	100	400	5	0.840708193	0.89175
AAnew_TSS	200	400	5	0.925635477	0.9185
AAnew_TSS	300	400	5	0.933234272	0.939
AAnew_TSS	500	400	5	0.952847438	0.94675
AAnew_TSS	20	400	10	0.477880022	0.879639175
AAnew_TSS	50	400	10	0.778369464	0.9425
AAnew_TSS	100	400	10	0.914527357	0.96725
AAnew_TSS	200	400	10	0.965246032	0.9925
AAnew_TSS	300	400	10	0.972956122	0.9905
AAnew_TSS	500	400	10	0.982251598	0.996
AAnew_TSS	20	500	1	0.059926899	0.135208333
AAnew_TSS	50	500	1	0.039603381	0.0532
AAnew_TSS	100	500	1	0.036684526	0.0226
AAnew_TSS	200	500	1	0.035291852	0.0096
AAnew_TSS	300	500	1	0.027358376	0.0078
AAnew_TSS	500	500	1	0.015098596	0.003
AAnew_TSS	20	500	2	0.195382689	0.396086957
AAnew_TSS	50	500	2	0.309678158	0.3836
AAnew_TSS	100	500	2	0.464618166	0.3352
AAnew_TSS	200	500	2	0.653402255	0.2986
AAnew_TSS	300	500	2	0.72936196	0.2664
AAnew_TSS	500	500	2	0.812881589	0.237
AAnew_TSS	20	500	5	0.383465127	0.76787234
AAnew_TSS	50	500	5	0.639543539	0.841
AAnew_TSS	100	500	5	0.832389053	0.8896
AAnew_TSS	200	500	5	0.925839072	0.9198
AAnew_TSS	300	500	5	0.942954129	0.9302
AAnew_TSS	500	500	5	0.969257369	0.948
AAnew_TSS	20	500	10	0.493165284	0.888842105
AAnew_TSS	50	500	10	0.765503457	0.939
AAnew_TSS	100	500	10	0.912364496	0.9738
AAnew_TSS	200	500	10	0.97274987	0.985
AAnew_TSS	300	500	10	0.982307374	0.995
AAnew_TSS	500	500	10	0.983393474	0.9956
AAnew_TSS	20	800	1	0.071202217	0.188829787
AAnew_TSS	50	800	1	0.043227109	0.10625
AAnew_TSS	100	800	1	0.036289346	0.0535
AAnew_TSS	200	800	1	0.037343193	0.04175
AAnew_TSS	300	800	1	0.034930013	0.030625
AAnew_TSS	500	800	1	0.022886903	0.018875
AAnew_TSS	20	800	2	0.152400049	0.377706186
AAnew_TSS	50	800	2	0.151927636	0.33
AAnew_TSS	100	800	2	0.211512889	0.280625
AAnew_TSS	200	800	2	0.276017881	0.203375
AAnew_TSS	300	800	2	0.357676649	0.203
AAnew_TSS	500	800	2	0.428977031	0.172625
AAnew_TSS	20	800	5	0.288293907	0.666108247
AAnew_TSS	50	800	5	0.352655306	0.746125
AAnew_TSS	100	800	5	0.555268635	0.774
AAnew_TSS	200	800	5	0.763757164	0.808375
AAnew_TSS	300	800	5	0.845368152	0.85425
AAnew_TSS	500	800	5	0.92653883	0.871875
AAnew_TSS	20	800	10	0.370501628	0.769473684
AAnew_TSS	50	800	10	0.456433064	0.8705
AAnew_TSS	100	800	10	0.669775179	0.921625
AAnew_TSS	200	800	10	0.874871529	0.953375
AAnew_TSS	300	800	10	0.933999668	0.97
AAnew_TSS	500	800	10	0.973288474	0.984375
AAnew_TSS	20	1000	1	0.071524761	0.183368421
AAnew_TSS	50	1000	1	0.043051464	0.1045
AAnew_TSS	100	1000	1	0.03671873	0.0604
AAnew_TSS	200	1000	1	0.039135894	0.0429
AAnew_TSS	300	1000	1	0.031255082	0.028
AAnew_TSS	500	1000	1	0.016441621	0.0134
AAnew_TSS	20	1000	2	0.155894685	0.375
AAnew_TSS	50	1000	2	0.148175779	0.33
AAnew_TSS	100	1000	2	0.209232151	0.2676
