name	Sample	OTU	type	effect	mean_Accuracy	sd_Accuracy	mean_Precision	sd_Precision	mean_TPR	sd_TPR	mean_F1_score	sd_F1_score	mean_FPR	sd_FPR	mean_Specificity	sd_Specificity	mean_FDR	sd_FDR
AAnew_TSS	300	100	abundant	1	0.8906	0.011618515	0	0	0	0	0	0	0.010444444	0.012909462	0.989555556	0.012909462	0.5	0.502518908
AAnew_TSS	300	100	abundant	2	0.9271	0.021709515	0.750444444	0.230035864	0.401	0.172031827	0.507778644	0.181971569	0.014444444	0.013631167	0.985555556	0.013631167	0.239555556	0.218531474
AAnew_TSS	300	100	abundant	5	0.9753	0.031923362	0.855158218	0.170856169	0.984	0.03949172	0.903967453	0.109685339	0.025666667	0.035932868	0.974333333	0.035932868	0.144841782	0.170856169
AAnew_TSS	300	100	abundant	10	0.9864	0.02504622	0.910525436	0.140768041	1	0	0.946659632	0.089467188	0.015111111	0.027829133	0.984888889	0.027829133	0.089474564	0.140768041
AAnew_TSS	300	200	abundant	1	0.88435	0.013231715	0.017392857	0.068599559	0.004	0.013632996	0.006219019	0.021352016	0.017833333	0.014946698	0.982166667	0.014946698	0.862607143	0.327347088
AAnew_TSS	300	200	abundant	2	0.9166	0.01538857	0.732368881	0.199536441	0.2645	0.13090497	0.374796066	0.152583318	0.010944444	0.009876876	0.989055556	0.009876876	0.267631119	0.199536441
AAnew_TSS	300	200	abundant	5	0.98115	0.018516373	0.894175099	0.121945083	0.9465	0.056073094	0.914439605	0.076556931	0.015	0.019558348	0.985	0.019558348	0.105824901	0.121945083
AAnew_TSS	300	200	abundant	10	0.98965	0.01625639	0.925640734	0.109754783	0.995	0.018118577	0.955399645	0.065955697	0.010944444	0.017857827	0.989055556	0.017857827	0.074359266	0.109754783
AAnew_TSS	300	300	abundant	1	0.880233333	0.01340264	0.029021945	0.071959641	0.007666667	0.01631274	0.011561123	0.024437844	0.022814815	0.015381241	0.977185185	0.015381241	0.910978055	0.242136481
AAnew_TSS	300	300	abundant	2	0.9162	0.012783442	0.744109941	0.184107312	0.254333333	0.10146569	0.369823963	0.12514253	0.010259259	0.008050205	0.989740741	0.008050205	0.255890059	0.184107312
AAnew_TSS	300	300	abundant	5	0.9803	0.019034466	0.910228945	0.124124788	0.917	0.054945131	0.908322033	0.07678152	0.012666667	0.020122665	0.987333333	0.020122665	0.089771055	0.124124788
AAnew_TSS	300	300	abundant	10	0.9929	0.016375607	0.958129811	0.098301989	0.988333333	0.019748702	0.9699331	0.06147289	0.006592593	0.017964631	0.993407407	0.017964631	0.041870189	0.098301989
AAnew_TSS	300	400	abundant	1	0.8786	0.011951713	0.042273308	0.083510689	0.0095	0.01768838	0.014735894	0.02646601	0.024833333	0.01344591	0.975166667	0.01344591	0.947726692	0.126964676
AAnew_TSS	300	400	abundant	2	0.916125	0.011652453	0.73118358	0.145585561	0.26625	0.101961507	0.380068105	0.115168848	0.011666667	0.008495431	0.988333333	0.008495431	0.26881642	0.145585561
AAnew_TSS	300	400	abundant	5	0.986175	0.011295251	0.933234272	0.083205631	0.939	0.045549396	0.933323529	0.049157273	0.008583333	0.01219525	0.991416667	0.01219525	0.066765728	0.083205631
