name	Sample	OTU	effect	mean_TPR	mean_FPR
ALDEx2_wi	100	100	1	5.00E-04	5.56E-06
Corncob	100	100	1	5.00E-04	3.89E-05
DACOMP	100	100	1	0	1.67E-05
DESeq2	100	100	1	0.015	0.002011111
fastANCOM	100	100	1	0	0
LEfSe	100	100	1	0	3.42E-05
limma_voom	100	100	1	0	6.11E-05
LinDA	100	100	1	0	0.000111111
MaAsLin2	100	100	1	0	5.00E-05
Wilcox	100	100	1	0	3.33E-05
ZicoSeq	100	100	1	0	0
ALDEx2_wi	100	100	10	0.104	0.010977778
Corncob	100	100	10	0.143	0.015966667
DACOMP	100	100	10	0.092	0.008822222
DESeq2	100	100	10	0.191	0.0194
fastANCOM	100	100	10	0.086	0.008794444
LEfSe	100	100	10	0.1955	0.020505556
limma_voom	100	100	10	0.115	0.0116
LinDA	100	100	10	0.1265	0.012855556
MaAsLin2	100	100	10	0.1875	0.019238889
Wilcox	100	100	10	0.1775	0.018488889
ZicoSeq	100	100	10	0	0
ALDEx2_wi	100	100	2	0.025	0.002177778
Corncob	100	100	2	0.0185	0.001883333
DACOMP	100	100	2	0.029	0.003277778
DESeq2	100	100	2	0.083	0.008566667
fastANCOM	100	100	2	0.007	0.000811111
LEfSe	100	100	2	0.0275	0.002738889
limma_voom	100	100	2	0.029	0.00255
LinDA	100	100	2	0.0315	0.003127778
MaAsLin2	100	100	2	0.024	0.002388889
Wilcox	100	100	2	0.0265	0.002455556
ZicoSeq	100	100	2	0	0
ALDEx2_wi	100	100	5	0.0785	0.006738889
Corncob	100	100	5	0.092	0.008111111
DACOMP	100	100	5	0.076	0.007216667
DESeq2	100	100	5	0.147	0.015566667
fastANCOM	100	100	5	0.0685	0.0064
LEfSe	100	100	5	0.1155	0.010655556
limma_voom	100	100	5	0.0885	0.008794444
LinDA	100	100	5	0.094	0.009616667
MaAsLin2	100	100	5	0.1085	0.010338889
Wilcox	100	100	5	0.0965	0.009344444
ZicoSeq	100	100	5	0	0
ALDEx2_wi	20	100	1	0	1.67E-05
Corncob	20	100	1	0.0015	8.89E-05
DACOMP	20	100	1	0	2.78E-05
DESeq2	20	100	1	0.02	0.002066667
fastANCOM	20	100	1	0	3.33E-05
LEfSe	20	100	1	0	4.12E-05
limma_voom	20	100	1	5.00E-04	0.000116667
LinDA	20	100	1	5.00E-04	0.000155556
MaAsLin2	20	100	1	0	6.70E-05
Wilcox	20	100	1	0	1.67E-05
ZicoSeq	20	100	1	0	0
ALDEx2_wi	20	100	10	0.023	0.002477778
Corncob	20	100	10	0.025	0.003033333
DACOMP	20	100	10	0.022	0.002416667
DESeq2	20	100	10	0.0985	0.010638889
fastANCOM	20	100	10	0.017	0.001988889
LEfSe	20	100	10	0.023	0.002516667
limma_voom	20	100	10	0.045	0.005377778
LinDA	20	100	10	0.042	0.004955556
MaAsLin2	20	100	10	0.0335	0.004111111
Wilcox	20	100	10	0.019	0.002177778
ZicoSeq	20	100	10	0	0
ALDEx2_wi	20	100	2	5.00E-04	4.44E-05
Corncob	20	100	2	0.0025	0.00025
DACOMP	20	100	2	0	5.00E-05
DESeq2	20	100	2	0.0215	0.002538889
fastANCOM	20	100	2	5.00E-04	1.11E-05
LEfSe	20	100	2	0.001015228	5.08E-05
limma_voom	20	100	2	0.002	0.000172222
LinDA	20	100	2	0.004	0.000211111
MaAsLin2	20	100	2	0.003	8.33E-05
Wilcox	20	100	2	0	2.22E-05
ZicoSeq	20	100	2	0	0
ALDEx2_wi	20	100	5	0.0135	0.001183333
Corncob	20	100	5	0.0195	0.001716667
DACOMP	20	100	5	0.012	0.001222222
DESeq2	20	100	5	0.075	0.007855556
fastANCOM	20	100	5	0.008	0.000466667
LEfSe	20	100	5	0.0115	0.001038889
limma_voom	20	100	5	0.025	0.002544444
LinDA	20	100	5	0.0265	0.002416667
MaAsLin2	20	100	5	0.021105528	0.001965382
Wilcox	20	100	5	0.0115	0.000927778
ZicoSeq	20	100	5	0	0
ALDEx2_wi	200	100	1	0	1.11E-05
Corncob	200	100	1	0	8.33E-05
DACOMP	200	100	1	0	0
DESeq2	200	100	1	0.019	0.0026
fastANCOM	200	100	1	0	5.56E-06
LEfSe	200	100	1	0.001015228	5.08E-05
limma_voom	200	100	1	0.002	0.000116667
LinDA	200	100	1	0.003	0.000283333
MaAsLin2	200	100	1	0.001	5.56E-05
Wilcox	200	100	1	5.00E-04	5.56E-05
ZicoSeq	200	100	1	0	0
ALDEx2_wi	200	100	10	0.195	0.020944444
Corncob	200	100	10	0.261	0.028427778
DACOMP	200	100	10	0.086	0.010027778
DESeq2	200	100	10	0.2915	0.030722222
fastANCOM	200	100	10	0.1005	0.011316667
LEfSe	200	100	10	0.3255	0.035388889
limma_voom	200	100	10	0.1515	0.0165
LinDA	200	100	10	0.157	0.018088889
MaAsLin2	200	100	10	0.3085	0.033494444
Wilcox	200	100	10	0.318	0.034016667
ZicoSeq	200	100	10	0.003	0.000211111
ALDEx2_wi	200	100	2	0.0425	0.003866667
Corncob	200	100	2	0.0405	0.003577778
DACOMP	200	100	2	0.0595	0.005622222
DESeq2	200	100	2	0.124	0.011611111
fastANCOM	200	100	2	0.0305	0.002727778
LEfSe	200	100	2	0.057	0.005016667
limma_voom	200	100	2	0.051	0.004727778
LinDA	200	100	2	0.0595	0.005777778
MaAsLin2	200	100	2	0.05	0.004661111
Wilcox	200	100	2	0.0525	0.004744444
ZicoSeq	200	100	2	0	0
ALDEx2_wi	200	100	5	0.112	0.011583333
Corncob	200	100	5	0.1415	0.014655556
DACOMP	200	100	5	0.0865	0.009172222
DESeq2	200	100	5	0.2055	0.021944444
fastANCOM	200	100	5	0.083	0.008894444
LEfSe	200	100	5	0.188	0.019272222
limma_voom	200	100	5	0.109	0.011927778
LinDA	200	100	5	0.115	0.0122
MaAsLin2	200	100	5	0.162	0.017177778
Wilcox	200	100	5	0.165	0.016777778
ZicoSeq	200	100	5	0.001	0.000105556
ALDEx2_wi	300	100	1	5.00E-04	1.11E-05
Corncob	300	100	1	0.001	7.22E-05
DACOMP	300	100	1	0	3.89E-05
DESeq2	300	100	1	0.029	0.002888889
fastANCOM	300	100	1	5.00E-04	5.56E-06
LEfSe	300	100	1	0.0015	7.78E-05
limma_voom	300	100	1	0.002	1.00E-04
LinDA	300	100	1	0.005	0.000288889
MaAsLin2	300	100	1	0.002	9.44E-05
Wilcox	300	100	1	0.0015	7.78E-05
ZicoSeq	300	100	1	0	0
ALDEx2_wi	300	100	10	0.2705	0.027411111
Corncob	300	100	10	0.352	0.0354
DACOMP	300	100	10	0.0935	0.010105556
DESeq2	300	100	10	0.39	0.037977778
fastANCOM	300	100	10	0.1255	0.012672222
LEfSe	300	100	10	0.43	0.042455556
limma_voom	300	100	10	0.199	0.019733333
LinDA	300	100	10	0.203	0.0206
MaAsLin2	300	100	10	0.42	0.041144444
Wilcox	300	100	10	0.413	0.040494444
ZicoSeq	300	100	10	0.0015	8.89E-05
ALDEx2_wi	300	100	2	0.0455	0.005022222
Corncob	300	100	2	0.0505	0.0051
DACOMP	300	100	2	0.0875	0.008766667
DESeq2	300	100	2	0.1255	0.013638889
fastANCOM	300	100	2	0.041	0.004211111
LEfSe	300	100	2	0.064	0.006761111
limma_voom	300	100	2	0.0605	0.006461111
LinDA	300	100	2	0.0695	0.00725
MaAsLin2	300	100	2	0.0635	0.006516667
Wilcox	300	100	2	0.0585	0.006272222
ZicoSeq	300	100	2	0	0
ALDEx2_wi	300	100	5	0.15	0.015338889
Corncob	300	100	5	0.2	0.020377778
DACOMP	300	100	5	0.1005	0.009472222
DESeq2	300	100	5	0.2655	0.027422222
fastANCOM	300	100	5	0.1095	0.009644444
LEfSe	300	100	5	0.2545	0.0259
limma_voom	300	100	5	0.149	0.014572222
LinDA	300	100	5	0.147	0.013827778
MaAsLin2	300	100	5	0.227	0.023172222
Wilcox	300	100	5	0.2335	0.023811111
ZicoSeq	300	100	5	0	0
ALDEx2_wi	50	100	1	5.00E-04	3.89E-05
Corncob	50	100	1	0.001	0.000105556
DACOMP	50	100	1	0	2.22E-05
DESeq2	50	100	1	0.023	0.002594444
fastANCOM	50	100	1	5.00E-04	1.67E-05
LEfSe	50	100	1	0.000510204	5.10E-05
limma_voom	50	100	1	5.00E-04	9.44E-05
LinDA	50	100	1	0.002	0.000305556
MaAsLin2	50	100	1	0.001	0.000111111
Wilcox	50	100	1	5.00E-04	3.89E-05
ZicoSeq	50	100	1	0	0
ALDEx2_wi	50	100	10	0.067	0.006044444
Corncob	50	100	10	0.0885	0.007816667
DACOMP	50	100	10	0.0745	0.006533333
DESeq2	50	100	10	0.154	0.014922222
fastANCOM	50	100	10	0.07	0.006055556
LEfSe	50	100	10	0.1115	0.010305556
limma_voom	50	100	10	0.097	0.00885
LinDA	50	100	10	0.102	0.009727778
MaAsLin2	50	100	10	0.117	0.010888889
Wilcox	50	100	10	0.104	0.009644444
ZicoSeq	50	100	10	0	0
ALDEx2_wi	50	100	2	0.0075	0.000627778
Corncob	50	100	2	0.011	0.00075
DACOMP	50	100	2	0.0095	0.000611111
DESeq2	50	100	2	0.0545	0.005738889
fastANCOM	50	100	2	0.0025	0.000133333
LEfSe	50	100	2	0.0095	0.000872222
limma_voom	50	100	2	0.0085	0.000838889
LinDA	50	100	2	0.0095	0.001233333
MaAsLin2	50	100	2	0.009	0.000766667
Wilcox	50	100	2	0.0085	0.000783333
ZicoSeq	50	100	2	0	0
ALDEx2_wi	50	100	5	0.0415	0.004277778
Corncob	50	100	5	0.0405	0.004033333
DACOMP	50	100	5	0.047	0.004988889
DESeq2	50	100	5	0.1245	0.0132
fastANCOM	50	100	5	0.0325	0.003611111
LEfSe	50	100	5	0.0585	0.005355556
limma_voom	50	100	5	0.056	0.006127778
LinDA	50	100	5	0.0655	0.006705556
MaAsLin2	50	100	5	0.064	0.005855556
Wilcox	50	100	5	0.0535	0.004933333
ZicoSeq	50	100	5	0	0
ALDEx2_wi	500	100	1	0	0
Corncob	500	100	1	0.0015	3.89E-05
DACOMP	500	100	1	0	5.56E-05
DESeq2	500	100	1	0.0355	0.003427778
fastANCOM	500	100	1	0	0
LEfSe	500	100	1	5.00E-04	3.33E-05
limma_voom	500	100	1	5.00E-04	7.22E-05
LinDA	500	100	1	0.003	0.000238889
MaAsLin2	500	100	1	0.0015	4.44E-05
Wilcox	500	100	1	0.0015	3.89E-05
ZicoSeq	500	100	1	0	0
ALDEx2_wi	500	100	10	0.374	0.037883333
Corncob	500	100	10	0.471	0.047461111
DACOMP	500	100	10	0.104	0.0103
DESeq2	500	100	10	0.48	0.050783333
fastANCOM	500	100	10	0.168	0.016683333
LEfSe	500	100	10	0.5515	0.055288889
limma_voom	500	100	10	0.2615	0.026372222
LinDA	500	100	10	0.27	0.027466667
MaAsLin2	500	100	10	0.549	0.055166667
Wilcox	500	100	10	0.535	0.053227778
ZicoSeq	500	100	10	0.001	9.44E-05
ALDEx2_wi	500	100	2	0.0745	0.007322222
Corncob	500	100	2	0.0815	0.008127778
DACOMP	500	100	2	0.129	0.013133333
DESeq2	500	100	2	0.159	0.01715
fastANCOM	500	100	2	0.0645	0.006566667
LEfSe	500	100	2	0.109	0.010722222
limma_voom	500	100	2	0.097	0.009588889
LinDA	500	100	2	0.0925	0.009511111
MaAsLin2	500	100	2	0.097	0.0096
Wilcox	500	100	2	0.0915	0.009288889
ZicoSeq	500	100	2	0.0015	8.89E-05
ALDEx2_wi	500	100	5	0.211	0.022261111
Corncob	500	100	5	0.242	0.026538889
DACOMP	500	100	5	0.0895	0.010094444
DESeq2	500	100	5	0.3395	0.035855556
fastANCOM	500	100	5	0.0945	0.010872222
LEfSe	500	100	5	0.314	0.033011111
limma_voom	500	100	5	0.171	0.018627778
LinDA	500	100	5	0.1415	0.015672222
MaAsLin2	500	100	5	0.2705	0.029716667
Wilcox	500	100	5	0.2895	0.0305
ZicoSeq	500	100	5	0.0025	0.000194444
ALDEx2_wi	100	1000	1	0	0
Corncob	100	1000	1	0	1.11E-05
DACOMP	100	1000	1	5.00E-05	3.33E-05
DESeq2	100	1000	1	0.00075	0.011744444
fastANCOM	100	1000	1	0	0
LEfSe	100	1000	1	0	2.29E-05
limma_voom	100	1000	1	0.0368	0.038344444
LinDA	100	1000	1	0	2.78E-05
MaAsLin2	100	1000	1	0	2.22E-05
Wilcox	100	1000	1	0	2.78E-05
ZicoSeq	100	1000	1	0	0
ALDEx2_wi	100	1000	10	0.0161	0.015438889
Corncob	100	1000	10	0.0217	0.020433333
DACOMP	100	1000	10	0.02835	0.027088889
DESeq2	100	1000	10	0.03505	0.048688889
fastANCOM	100	1000	10	0.054	0.055861111
LEfSe	100	1000	10	0.03155	0.030511111
limma_voom	100	1000	10	0.3738	0.374416667
LinDA	100	1000	10	0.0326	0.031938889
MaAsLin2	100	1000	10	0.03185	0.030566667
Wilcox	100	1000	10	0.02725	0.026377778
ZicoSeq	100	1000	10	0	0
ALDEx2_wi	100	1000	2	0.00115	0.001827778
Corncob	100	1000	2	0.0011	0.001661111
DACOMP	100	1000	2	0.0012	0.001266667
DESeq2	100	1000	2	0.00645	0.019144444
fastANCOM	100	1000	2	0.00115	0.001977778
LEfSe	100	1000	2	0.002	0.002922222
limma_voom	100	1000	2	0.053	0.054972222
LinDA	100	1000	2	0.00125	0.00195
MaAsLin2	100	1000	2	0.001407035	0.002026801
Wilcox	100	1000	2	0.00135	0.002155556
ZicoSeq	100	1000	2	0	0
ALDEx2_wi	100	1000	5	0.00775	0.008822222
Corncob	100	1000	5	0.00965	0.010083333
DACOMP	100	1000	5	0.01625	0.016194444
DESeq2	100	1000	5	0.0241	0.036672222
fastANCOM	100	1000	5	0.01655	0.017038889
LEfSe	100	1000	5	0.01355	0.014044444
limma_voom	100	1000	5	0.14035	0.142266667
LinDA	100	1000	5	0.01585	0.015833333
MaAsLin2	100	1000	5	0.015628141	0.015840313
Wilcox	100	1000	5	0.01175	0.012255556
ZicoSeq	100	1000	5	0	0
ALDEx2_wi	20	1000	1	0	0
Corncob	20	1000	1	1.00E-04	7.22E-05
DACOMP	20	1000	1	0	0
DESeq2	20	1000	1	0.00035	0.221777778
fastANCOM	20	1000	1	0	0
LEfSe	20	1000	1	0	0
limma_voom	20	1000	1	0.0417	0.040933333
LinDA	20	1000	1	0	5.56E-06
MaAsLin2	20	1000	1	0	5.56E-06
Wilcox	20	1000	1	0	0
ZicoSeq	20	1000	1	0	0
ALDEx2_wi	20	1000	10	0.00195	0.001816667
Corncob	20	1000	10	0.0029	0.00275
DACOMP	20	1000	10	0.00065	0.000522222
DESeq2	20	1000	10	0.01025	0.254777778
fastANCOM	20	1000	10	0.0049	0.005005556
LEfSe	20	1000	10	0.00055	0.000438889
limma_voom	20	1000	10	0.1431	0.148477778
LinDA	20	1000	10	0.0034	0.003183333
MaAsLin2	20	1000	10	0.003502538	0.003637902
Wilcox	20	1000	10	4.00E-04	0.000361111
ZicoSeq	20	1000	10	0	0
ALDEx2_wi	20	1000	2	0	3.33E-05
Corncob	20	1000	2	1.00E-04	0.000266667
DACOMP	20	1000	2	0	0
DESeq2	20	1000	2	0.00055	0.227666667
fastANCOM	20	1000	2	0	1.67E-05
LEfSe	20	1000	2	0	0
limma_voom	20	1000	2	0.035	0.036311111
LinDA	20	1000	2	0	2.78E-05
MaAsLin2	20	1000	2	0	4.44E-05
Wilcox	20	1000	2	0	0
ZicoSeq	20	1000	2	0	0
ALDEx2_wi	20	1000	5	9.00E-04	0.000683333
Corncob	20	1000	5	0.00165	0.001244444
DACOMP	20	1000	5	5.00E-05	3.33E-05
DESeq2	20	1000	5	0.0075	0.237694444
fastANCOM	20	1000	5	0.00145	0.001044444
LEfSe	20	1000	5	5.00E-05	1.67E-05
limma_voom	20	1000	5	0.07055	0.070894444
LinDA	20	1000	5	0.0015	0.001083333
MaAsLin2	20	1000	5	0.0021	0.001411111
Wilcox	20	1000	5	0.00055	0.000227778
ZicoSeq	20	1000	5	0	0
ALDEx2_wi	200	1000	1	0	0
Corncob	200	1000	1	0	1.11E-05
DACOMP	200	1000	1	0	0
DESeq2	200	1000	1	0.00045	0.001411111
fastANCOM	200	1000	1	0	5.56E-06
LEfSe	200	1000	1	0	3.51E-05
limma_voom	200	1000	1	0.0329	0.034111111
LinDA	200	1000	1	5.00E-05	2.22E-05
MaAsLin2	200	1000	1	0	5.56E-06
Wilcox	200	1000	1	0	2.22E-05
ZicoSeq	200	1000	1	0	0
ALDEx2_wi	200	1000	10	0.0331	0.031705556
Corncob	200	1000	10	0.0479	0.046283333
DACOMP	200	1000	10	0.0454	0.042733333
DESeq2	200	1000	10	0.05945	0.057583333
fastANCOM	200	1000	10	0.1257	0.121744444
LEfSe	200	1000	10	0.07515	0.07135
limma_voom	200	1000	10	0.5414	0.54735
LinDA	200	1000	10	0.08195	0.079016667
MaAsLin2	200	1000	10	0.08155	0.078561111
Wilcox	200	1000	10	0.06865	0.064816667
ZicoSeq	200	1000	10	0.00015	0.000227778
ALDEx2_wi	200	1000	2	0.00465	0.004766667
Corncob	200	1000	2	0.00405	0.004333333
DACOMP	200	1000	2	0.00725	0.007
DESeq2	200	1000	2	0.0148	0.015261111
fastANCOM	200	1000	2	0.00565	0.005922222
LEfSe	200	1000	2	0.00645	0.006905556
limma_voom	200	1000	2	0.0709	0.071838889
LinDA	200	1000	2	0.0057	0.006294444
MaAsLin2	200	1000	2	0.0055	0.006188889
Wilcox	200	1000	2	0.0053	0.005738889
ZicoSeq	200	1000	2	0	0
ALDEx2_wi	200	1000	5	0.01575	0.015783333
Corncob	200	1000	5	0.02065	0.021066667
DACOMP	200	1000	5	0.02675	0.027027778
DESeq2	200	1000	5	0.035	0.038038889
fastANCOM	200	1000	5	0.04565	0.046422222
LEfSe	200	1000	5	0.0314	0.0314
limma_voom	200	1000	5	0.259	0.264533333
LinDA	200	1000	5	0.0349	0.036011111
MaAsLin2	200	1000	5	0.03425	0.035572222
Wilcox	200	1000	5	0.027	0.027777778
ZicoSeq	200	1000	5	0.00015	0.000244444
ALDEx2_wi	300	1000	1	0	1.11E-05
Corncob	300	1000	1	0	2.22E-05
DACOMP	300	1000	1	5.00E-05	5.56E-05
DESeq2	300	1000	1	0.0012	0.001105556
fastANCOM	300	1000	1	0	1.67E-05
LEfSe	300	1000	1	0.00037234	0.000307329
limma_voom	300	1000	1	0.03655	0.037233333
LinDA	300	1000	1	0	5.00E-05
MaAsLin2	300	1000	1	0	5.00E-05
Wilcox	300	1000	1	0	4.44E-05
ZicoSeq	300	1000	1	0	0
ALDEx2_wi	300	1000	10	0.04875	0.0443
Corncob	300	1000	10	0.07765	0.073555556
DACOMP	300	1000	10	0.05445	0.052716667
DESeq2	300	1000	10	0.0846	0.082005556
fastANCOM	300	1000	10	0.1733	0.175022222
LEfSe	300	1000	10	0.11175	0.108916667
limma_voom	300	1000	10	0.6179	0.627038889
LinDA	300	1000	10	0.11925	0.118005556
MaAsLin2	300	1000	10	0.1302	0.130788889
Wilcox	300	1000	10	0.10535	0.102144444
ZicoSeq	300	1000	10	2.00E-04	0.000327778
ALDEx2_wi	300	1000	2	0.00565	0.0063
Corncob	300	1000	2	0.00585	0.006638889
DACOMP	300	1000	2	0.01005	0.010516667
DESeq2	300	1000	2	0.0186	0.019227778
fastANCOM	300	1000	2	0.0093	0.010083333
LEfSe	300	1000	2	0.00885	0.009444444
limma_voom	300	1000	2	0.07285	0.075188889
LinDA	300	1000	2	0.00955	0.010505556
MaAsLin2	300	1000	2	0.00975	0.010688889
Wilcox	300	1000	2	0.00785	0.00845
ZicoSeq	300	1000	2	0	0
ALDEx2_wi	300	1000	5	0.0223	0.021727778
Corncob	300	1000	5	0.0332	0.032988889
DACOMP	300	1000	5	0.03095	0.031933333
DESeq2	300	1000	5	0.05175	0.051144444
fastANCOM	300	1000	5	0.06525	0.064922222
LEfSe	300	1000	5	0.048	0.048883333
limma_voom	300	1000	5	0.272	0.2739
LinDA	300	1000	5	0.05265	0.054705556
MaAsLin2	300	1000	5	0.0562	0.058638889
Wilcox	300	1000	5	0.04305	0.043533333
ZicoSeq	300	1000	5	0	0
ALDEx2_wi	50	1000	1	0	0
Corncob	50	1000	1	0	2.22E-05
DACOMP	50	1000	1	0	0
DESeq2	50	1000	1	5.00E-04	0.0185
fastANCOM	50	1000	1	0	5.56E-06
LEfSe	50	1000	1	0	1.11E-05
limma_voom	50	1000	1	0.041	0.041394444
LinDA	50	1000	1	5.00E-05	1.67E-05
MaAsLin2	50	1000	1	0	1.69E-05
Wilcox	50	1000	1	0	5.56E-06
ZicoSeq	50	1000	1	0	0
ALDEx2_wi	50	1000	10	0.0085	0.007766667
Corncob	50	1000	10	0.00915	0.008722222
DACOMP	50	1000	10	0.0122	0.011488889
DESeq2	50	1000	10	0.02205	0.047883333
fastANCOM	50	1000	10	0.02135	0.020138889
LEfSe	50	1000	10	0.012	0.010938889
limma_voom	50	1000	10	0.25775	0.2608
LinDA	50	1000	10	0.01395	0.012566667
MaAsLin2	50	1000	10	0.01361809	0.012518146
Wilcox	50	1000	10	0.0103	0.009794444
ZicoSeq	50	1000	10	0	0
ALDEx2_wi	50	1000	2	0.00055	0.000383333
Corncob	50	1000	2	0.00055	0.000466667
DACOMP	50	1000	2	0	0
DESeq2	50	1000	2	0.00215	0.021638889
fastANCOM	50	1000	2	0.00025	0.000405556
LEfSe	50	1000	2	6.00E-04	0.000555556
limma_voom	50	1000	2	0.04065	0.042227778
LinDA	50	1000	2	5.00E-04	0.00045
MaAsLin2	50	1000	2	0.000603015	0.000491346
Wilcox	50	1000	2	0.00035	0.000311111
ZicoSeq	50	1000	2	0	0
ALDEx2_wi	50	1000	5	0.0038	0.004344444
Corncob	50	1000	5	0.00335	0.003922222
DACOMP	50	1000	5	0.0045	0.004644444
DESeq2	50	1000	5	0.0148	0.036911111
fastANCOM	50	1000	5	0.0067	0.007061111
LEfSe	50	1000	5	0.0049	0.005222222
limma_voom	50	1000	5	0.07885	0.077905556
LinDA	50	1000	5	0.00605	0.006227778
MaAsLin2	50	1000	5	0.006080402	0.006309324
