name	Sample	OTU	effect	mean_Precision	mean_TPR
ALDEx2_wi	100	100	1	0.005	5.00E-04
Corncob	100	100	1	0.005	5.00E-04
DACOMP	100	100	1	0	0
DESeq2	100	100	1	0.042589286	0.015
fastANCOM	100	100	1	0	0
LEfSe	100	100	1	0	0
limma_voom	100	100	1	0	0
LinDA	100	100	1	0	0
MaAsLin2	100	100	1	0	0
Wilcox	100	100	1	0	0
ZicoSeq	100	100	1	0	0
ALDEx2_wi	100	100	10	0.096490518	0.104
Corncob	100	100	10	0.093049881	0.143
DACOMP	100	100	10	0.104709291	0.092
DESeq2	100	100	10	0.099519306	0.191
fastANCOM	100	100	10	0.1001057	0.086
LEfSe	100	100	10	0.098414187	0.1955
limma_voom	100	100	10	0.099632967	0.115
LinDA	100	100	10	0.098486081	0.1265
MaAsLin2	100	100	10	0.099353178	0.1875
Wilcox	100	100	10	0.099836501	0.1775
ZicoSeq	100	100	10	0	0
ALDEx2_wi	100	100	2	0.112797619	0.025
Corncob	100	100	2	0.07875	0.0185
DACOMP	100	100	2	0.06994717	0.029
DESeq2	100	100	2	0.098714465	0.083
fastANCOM	100	100	2	0.043916667	0.007
LEfSe	100	100	2	0.083615079	0.0275
limma_voom	100	100	2	0.10525	0.029
LinDA	100	100	2	0.09474044	0.0315
MaAsLin2	100	100	2	0.088766053	0.024
Wilcox	100	100	2	0.089948773	0.0265
ZicoSeq	100	100	2	0	0
ALDEx2_wi	100	100	5	0.114380379	0.0785
Corncob	100	100	5	0.106057889	0.092
DACOMP	100	100	5	0.106040043	0.076
DESeq2	100	100	5	0.094421037	0.147
fastANCOM	100	100	5	0.108003968	0.0685
LEfSe	100	100	5	0.102699375	0.1155
limma_voom	100	100	5	0.102111851	0.0885
LinDA	100	100	5	0.099291374	0.094
MaAsLin2	100	100	5	0.09970238	0.1085
Wilcox	100	100	5	0.102796713	0.0965
ZicoSeq	100	100	5	0	0
ALDEx2_wi	20	100	1	0	0
Corncob	20	100	1	0.011666667	0.0015
DACOMP	20	100	1	0	0
DESeq2	20	100	1	0.062847222	0.02
fastANCOM	20	100	1	0	0
LEfSe	20	100	1	0	0
limma_voom	20	100	1	0.001	5.00E-04
LinDA	20	100	1	0.001666667	5.00E-04
MaAsLin2	20	100	1	0	0
Wilcox	20	100	1	0	0
ZicoSeq	20	100	1	0	0
ALDEx2_wi	20	100	10	0.083019841	0.023
Corncob	20	100	10	0.066728355	0.025
DACOMP	20	100	10	0.061714286	0.022
DESeq2	20	100	10	0.093018343	0.0985
fastANCOM	20	100	10	0.07622619	0.017
LEfSe	20	100	10	0.079130037	0.023
limma_voom	20	100	10	0.076609744	0.045
LinDA	20	100	10	0.078102735	0.042
MaAsLin2	20	100	10	0.075444916	0.0335
Wilcox	20	100	10	0.076285714	0.019
ZicoSeq	20	100	10	0	0
ALDEx2_wi	20	100	2	0.005	5.00E-04
Corncob	20	100	2	0.02	0.0025
DACOMP	20	100	2	0	0
DESeq2	20	100	2	0.05249026	0.0215
fastANCOM	20	100	2	0.005	5.00E-04
LEfSe	20	100	2	0.00676819	0.001015228
limma_voom	20	100	2	0.015	0.002
LinDA	20	100	2	0.02975	0.004
MaAsLin2	20	100	2	0.03	0.003
Wilcox	20	100	2	0	0
ZicoSeq	20	100	2	0	0
ALDEx2_wi	20	100	5	0.072714286	0.0135
Corncob	20	100	5	0.078166667	0.0195
DACOMP	20	100	5	0.042852564	0.012
DESeq2	20	100	5	0.092980117	0.075
fastANCOM	20	100	5	0.042083333	0.008
LEfSe	20	100	5	0.054555556	0.0115
limma_voom	20	100	5	0.091111291	0.025
LinDA	20	100	5	0.08874457	0.0265
MaAsLin2	20	100	5	0.094316822	0.021105528
Wilcox	20	100	5	0.059037879	0.0115
ZicoSeq	20	100	5	0	0
ALDEx2_wi	200	100	1	0	0
Corncob	200	100	1	0	0
DACOMP	200	100	1	0	0
DESeq2	200	100	1	0.040368548	0.019
fastANCOM	200	100	1	0	0
LEfSe	200	100	1	0.010152284	0.001015228
limma_voom	200	100	1	0.015625	0.002
LinDA	200	100	1	0.014967949	0.003
MaAsLin2	200	100	1	0.01	0.001
Wilcox	200	100	1	0.005	5.00E-04
ZicoSeq	200	100	1	0	0
ALDEx2_wi	200	100	10	0.09123252	0.195
Corncob	200	100	10	0.090369979	0.261
DACOMP	200	100	10	0.086959975	0.086
DESeq2	200	100	10	0.09164379	0.2915
fastANCOM	200	100	10	0.088393414	0.1005
LEfSe	200	100	10	0.090209319	0.3255
limma_voom	200	100	10	0.091412464	0.1515
LinDA	200	100	10	0.086623665	0.157
MaAsLin2	200	100	10	0.090795286	0.3085
Wilcox	200	100	10	0.09094536	0.318
ZicoSeq	200	100	10	0.001291667	0.003
ALDEx2_wi	200	100	2	0.095845599	0.0425
Corncob	200	100	2	0.095253968	0.0405
DACOMP	200	100	2	0.102297323	0.0595
DESeq2	200	100	2	0.101914658	0.124
fastANCOM	200	100	2	0.085968254	0.0305
LEfSe	200	100	2	0.103487188	0.057
limma_voom	200	100	2	0.097972222	0.051
LinDA	200	100	2	0.101635462	0.0595
MaAsLin2	200	100	2	0.095865079	0.05
Wilcox	200	100	2	0.103762663	0.0525
ZicoSeq	200	100	2	0	0
ALDEx2_wi	200	100	5	0.097089476	0.112
Corncob	200	100	5	0.101871538	0.1415
DACOMP	200	100	5	0.09505612	0.0865
DESeq2	200	100	5	0.092942944	0.2055
fastANCOM	200	100	5	0.094847312	0.083
LEfSe	200	100	5	0.100099064	0.188
