name	Sample	OTU	type	effect	mean_Accuracy	sd_Accuracy	mean_Precision	sd_Precision	mean_TPR	sd_TPR	mean_F1_score	sd_F1_score	mean_FPR	sd_FPR	mean_Specificity	sd_Specificity	mean_FDR	sd_FDR
ALDEx2_wi	500	100	mix	1	0.989010989	0	0	0	0	0	0	0	0	0	1	0	0	0
Corncob	500	100	mix	1	0.988989011	0.000290638	0.0125	0.105591181	0.0015	0.012185748	0.002651515	0.021558309	3.89E-05	0.000281301	0.999961111	0.000281301	0.0225	0.14438833
DACOMP	500	100	mix	1	0.988956044	0.000343993	0	0	0	0	0	0	5.56E-05	0.000347815	0.999944444	0.000347815	0.025	0.156516732
DESeq2	500	100	mix	1	0.986010989	0.003892941	0.067922539	0.156742093	0.0355	0.067917701	0.041404183	0.079933161	0.003427778	0.004254421	0.996572222	0.004254421	0.642077461	0.438075016
fastANCOM	500	100	mix	1	0.989010989	0	0	0	0	0	0	0	0	0	1	0	0	0
LEfSe	500	100	mix	1	0.988983516	0.000232069	0.005	0.070710678	5.00E-04	0.007071068	0.000909091	0.012856487	3.33E-05	0.000220259	0.999966667	0.000220259	0.025	0.156516732
limma_voom	500	100	mix	1	0.988945055	0.00071089	0.000454545	0.006428243	5.00E-04	0.007071068	0.00047619	0.00673435	7.22E-05	0.000796087	0.999927778	0.000796087	0.019545455	0.137275011
LinDA	500	100	mix	1	0.988807692	0.000998066	0.008659091	0.075373838	0.003	0.01982334	0.003742424	0.024010448	0.000238889	0.001172918	0.999761111	0.001172918	0.066340909	0.243526213
MaAsLin2	500	100	mix	1	0.988983516	0.000232069	0.00875	0.080737415	0.0015	0.012185748	0.00245671	0.020054788	4.44E-05	0.000291322	0.999955556	0.000291322	0.02625	0.153267387
Wilcox	500	100	mix	1	0.988989011	0.000219227	0.011666667	0.10233183	0.0015	0.012185748	0.002587413	0.021081965	3.89E-05	0.000233055	0.999961111	0.000233055	0.028333333	0.162948475
ZicoSeq	500	100	mix	1	0.989010989	0	0	0	0	0	0	0	0	0	1	0	0	0
ALDEx2_wi	500	100	mix	10	0.955653846	0.0070445	0.099115173	0.038732378	0.374	0.16234463	0.155683453	0.061101845	0.037883333	0.007208226	0.962116667	0.007208226	0.900884827	0.038732378
Corncob	500	100	mix	10	0.947247253	0.016389	0.0999752	0.035720827	0.471	0.228956558	0.159347022	0.053063339	0.047461111	0.018468027	0.952538889	0.018468027	0.9000248	0.035720827
DACOMP	500	100	mix	10	0.979967033	0.002333619	0.101587393	0.088304701	0.104	0.090136691	0.102312211	0.087935858	0.0103	0.001742496	0.9897	0.001742496	0.898412607	0.088304701
DESeq2	500	100	mix	10	0.94406044	0.012761943	0.094829663	0.031780462	0.48	0.191003696	0.156479942	0.051077151	0.050783333	0.014066391	0.949216667	0.014066391	0.905170337	0.031780462
fastANCOM	500	100	mix	10	0.974357143	0.008189614	0.100701663	0.072441113	0.168	0.139547006	0.119126968	0.082951367	0.016683333	0.009098913	0.983316667	0.009098913	0.899298337	0.072441113
LEfSe	500	100	mix	10	0.94039011	0.016172822	0.100729409	0.029564074	0.5515	0.226171434	0.166317011	0.045679017	0.055288889	0.018187367	0.944711111	0.018187367	0.899270591	0.029564074
limma_voom	500	100	mix	10	0.965802198	0.010990425	0.100628835	0.056866049	0.2615	0.170331483	0.138781029	0.073910464	0.026372222	0.012129989	0.973627778	0.012129989	0.899371165	0.056866049
LinDA	500	100	mix	10	0.964813187	0.011287546	0.099711002	0.05668538	0.27	0.177078468	0.138860362	0.075025489	0.027466667	0.012459331	0.972533333	0.012459331	0.900288998	0.05668538
MaAsLin2	500	100	mix	10	0.940483516	0.019016761	0.10041271	0.032750426	0.549	0.250625349	0.164062765	0.048532162	0.055166667	0.021464395	0.944833333	0.021464395	0.89958729	0.032750426
Wilcox	500	100	mix	10	0.942247253	0.0171267	0.102250488	0.033082756	0.535	0.233984495	0.166062647	0.04761924	0.053227778	0.019265499	0.946772222	0.019265499	0.897749512	0.033082756
ZicoSeq	500	100	mix	10	0.988928571	0.001165561	0.000526316	0.007443229	0.001	0.014142136	0.000689655	0.009753197	9.44E-05	0.001335646	0.999905556	0.001335646	0.004473684	0.063267449
ALDEx2_wi	500	100	mix	2	0.982587912	0.002978755	0.101546675	0.118688025	0.0745	0.084471458	0.083538448	0.092511653	0.007322222	0.002875047	0.992677778	0.002875047	0.898453325	0.118688025
