name	Sample	OTU	type	effect	mean_TPR	mean_FPR
AAnew_TSS	20	100	rare	1	0.210309278	0.007019634
AAnew_TSS	50	100	rare	1	0.122	0.003160804
AAnew_TSS	100	100	rare	1	0.046	0.001351759
AAnew_TSS	200	100	rare	1	0.016	0.000547739
AAnew_TSS	300	100	rare	1	0.011	0.000386935
AAnew_TSS	500	100	rare	1	0.01	0.000180905
AAnew_TSS	20	100	rare	2	0.473195876	0.006859037
AAnew_TSS	50	100	rare	2	0.473	0.003236181
AAnew_TSS	100	100	rare	2	0.459	0.001291457
AAnew_TSS	200	100	rare	2	0.499	0.000633166
AAnew_TSS	300	100	rare	2	0.51	0.000417085
AAnew_TSS	500	100	rare	2	0.467	0.00020603
AAnew_TSS	20	100	rare	5	0.792783505	0.006641455
AAnew_TSS	50	100	rare	5	0.899	0.002547739
AAnew_TSS	100	100	rare	5	0.941	0.001311558
AAnew_TSS	200	100	rare	5	0.986	0.000457286
AAnew_TSS	300	100	rare	5	0.994	0.000286432
AAnew_TSS	500	100	rare	5	0.996	0.000120603
AAnew_TSS	20	100	rare	10	0.894736842	0.005739222
AAnew_TSS	50	100	rare	10	0.977	0.002326633
AAnew_TSS	100	100	rare	10	0.989	0.001085427
AAnew_TSS	200	100	rare	10	0.996	0.000492462
AAnew_TSS	300	100	rare	10	1	0.000256281
AAnew_TSS	500	100	rare	10	1	0.000110553
AAnew_TSS	20	200	rare	1	0.237368421	0.017703349
AAnew_TSS	50	200	rare	1	0.153	0.009707071
AAnew_TSS	100	200	rare	1	0.0705	0.004237374
AAnew_TSS	200	200	rare	1	0.036	0.002570707
AAnew_TSS	300	200	rare	1	0.029	0.001434343
AAnew_TSS	500	200	rare	1	0.0165	0.000722222
AAnew_TSS	20	200	rare	2	0.4421875	0.017592593
AAnew_TSS	50	200	rare	2	0.4445	0.009030303
AAnew_TSS	100	200	rare	2	0.3865	0.00439899
AAnew_TSS	200	200	rare	2	0.342	0.002520202
AAnew_TSS	300	200	rare	2	0.3565	0.001414141
AAnew_TSS	500	200	rare	2	0.357	0.000737374
AAnew_TSS	20	200	rare	5	0.717171717	0.018462402
AAnew_TSS	50	200	rare	5	0.843	0.008969697
AAnew_TSS	100	200	rare	5	0.918	0.004171717
AAnew_TSS	200	200	rare	5	0.9725	0.002308081
AAnew_TSS	300	200	rare	5	0.9915	0.001333333
AAnew_TSS	500	200	rare	5	0.9995	0.00080303
AAnew_TSS	20	200	rare	10	0.808510638	0.017220073
AAnew_TSS	50	200	rare	10	0.9635	0.008762626
AAnew_TSS	100	200	rare	10	0.985	0.004207071
AAnew_TSS	200	200	rare	10	0.999	0.001974747
AAnew_TSS	300	200	rare	10	0.999	0.001217172
AAnew_TSS	500	200	rare	10	1	0.000661616
AAnew_TSS	20	300	rare	1	0.293402778	0.030996193
AAnew_TSS	50	300	rare	1	0.192	0.017258883
AAnew_TSS	100	300	rare	1	0.084333333	0.007502538
AAnew_TSS	200	300	rare	1	0.036666667	0.00406599
AAnew_TSS	300	300	rare	1	0.019	0.002741117
AAnew_TSS	500	300	rare	1	0.015	0.001918782
AAnew_TSS	20	300	rare	2	0.43122807	0.030382046
AAnew_TSS	50	300	rare	2	0.451	0.016725888
AAnew_TSS	100	300	rare	2	0.363	0.008269036
AAnew_TSS	200	300	rare	2	0.307666667	0.004472081
AAnew_TSS	300	300	rare	2	0.300333333	0.002664975
AAnew_TSS	500	300	rare	2	0.304	0.001690355
AAnew_TSS	20	300	rare	5	0.663508772	0.030868287
AAnew_TSS	50	300	rare	5	0.834333333	0.016461929
AAnew_TSS	100	300	rare	5	0.891333333	0.007654822
AAnew_TSS	200	300	rare	5	0.956333333	0.004233503
AAnew_TSS	300	300	rare	5	0.989333333	0.002477157
AAnew_TSS	500	300	rare	5	0.999	0.00215736
AAnew_TSS	20	300	rare	10	0.749122807	0.029794283
AAnew_TSS	50	300	rare	10	0.939	0.016314721
AAnew_TSS	100	300	rare	10	0.979666667	0.007888325
AAnew_TSS	200	300	rare	10	0.998666667	0.003939086
AAnew_TSS	300	300	rare	10	1	0.002715736
AAnew_TSS	500	300	rare	10	1	0.001629442
AAnew_TSS	20	400	rare	1	0.287634409	0.041134518
AAnew_TSS	50	400	rare	1	0.1715	0.022816327
AAnew_TSS	100	400	rare	1	0.0955	0.011403061
AAnew_TSS	200	400	rare	1	0.04375	0.006137755
AAnew_TSS	300	400	rare	1	0.02375	0.003469388
AAnew_TSS	500	400	rare	1	0.01325	0.002173469
AAnew_TSS	20	400	rare	2	0.448214286	0.041139109
AAnew_TSS	50	400	rare	2	0.4365	0.022188776
AAnew_TSS	100	400	rare	2	0.368	0.011096939
AAnew_TSS	200	400	rare	2	0.35925	0.006704082
AAnew_TSS	300	400	rare	2	0.31575	0.003423469
AAnew_TSS	500	400	rare	2	0.3325	0.002908163
AAnew_TSS	20	400	rare	5	0.650515464	0.040458658
AAnew_TSS	50	400	rare	5	0.82925	0.022362245
AAnew_TSS	100	400	rare	5	0.91275	0.011903061
AAnew_TSS	200	400	rare	5	0.967	0.005658163
AAnew_TSS	300	400	rare	5	0.99275	0.003744898
AAnew_TSS	500	400	rare	5	0.9995	0.002586735
AAnew_TSS	20	400	rare	10	0.739285714	0.039369013
