name	Sample	OTU	type	effect	mean_Accuracy	sd_Accuracy	mean_Precision	sd_Precision	mean_TPR	sd_TPR	mean_F1_score	sd_F1_score	mean_FPR	sd_FPR	mean_Specificity	sd_Specificity	mean_FDR	sd_FDR
ALDEx2_wi	100	100	mix	1	0.989010989	0.000110166	0.005	0.070710678	5.00E-04	0.007071068	0.000909091	0.012856487	5.56E-06	7.86E-05	0.999994444	7.86E-05	0.005	0.070710678
Corncob	100	100	mix	1	0.988978022	0.000309838	0.005	0.070710678	5.00E-04	0.007071068	0.000909091	0.012856487	3.89E-05	0.000302552	0.999961111	0.000302552	0.02	0.140351318
DACOMP	100	100	mix	1	0.988994505	0.000233112	0	0	0	0	0	0	1.67E-05	0.000235702	0.999983333	0.000235702	0.005	0.070710678
DESeq2	100	100	mix	1	0.987186813	0.002692739	0.042589286	0.14605583	0.015	0.041029466	0.019916874	0.053885791	0.002011111	0.002858167	0.997988889	0.002858167	0.547410714	0.47890414
fastANCOM	100	100	mix	1	0.989010989	0	0	0	0	0	0	0	0	0	1	0	0	0
LEfSe	100	100	mix	1	0.988977177	0.000220563	0	0	0	0	0	0	3.42E-05	0.000223014	0.999965812	0.000223014	0.025641026	0.15846875
limma_voom	100	100	mix	1	0.988950549	0.000295555	0	0	0	0	0	0	6.11E-05	0.000298839	0.999938889	0.000298839	0.045	0.207824336
LinDA	100	100	mix	1	0.988901099	0.000492677	0	0	0	0	0	0	0.000111111	0.000498151	0.999888889	0.000498151	0.065	0.247144496
MaAsLin2	100	100	mix	1	0.988961538	0.000370287	0	0	0	0	0	0	5.00E-05	0.000374401	0.99995	0.000374401	0.025	0.156516732
Wilcox	100	100	mix	1	0.988978022	0.000217839	0	0	0	0	0	0	3.33E-05	0.000220259	0.999966667	0.000220259	0.025	0.156516732
ZicoSeq	100	100	mix	1	0.989010989	0	0	0	0	0	0	0	0	0	1	0	0	0
ALDEx2_wi	100	100	mix	10	0.979296703	0.004558844	0.096490518	0.091180267	0.104	0.096073674	0.095337435	0.081977358	0.010977778	0.004825332	0.989022222	0.004825332	0.903509482	0.091180267
Corncob	100	100	mix	10	0.974791209	0.00830028	0.093049881	0.078044029	0.143	0.12819191	0.104747993	0.078295151	0.015966667	0.009054371	0.984033333	0.009054371	0.906950119	0.078044029
DACOMP	100	100	mix	10	0.981296703	0.002329064	0.104709291	0.096192871	0.092	0.084686831	0.097211753	0.088376646	0.008822222	0.001822307	0.991177778	0.001822307	0.895290709	0.096192871
DESeq2	100	100	mix	10	0.971923077	0.006465854	0.099519306	0.062241635	0.191	0.130399464	0.127074447	0.078091738	0.0194	0.006881735	0.9806	0.006881735	0.900480694	0.062241635
fastANCOM	100	100	mix	10	0.981258242	0.002365868	0.1001057	0.097567957	0.086	0.080225812	0.09168549	0.08622091	0.008794444	0.001899443	0.991205556	0.001899443	0.8998943	0.097567957
LEfSe	100	100	mix	10	0.970879121	0.010322136	0.098414187	0.071561208	0.1955	0.150809374	0.122164746	0.078494312	0.020505556	0.011367122	0.979494444	0.011367122	0.901585813	0.071561208
limma_voom	100	100	mix	10	0.978802198	0.003775637	0.099632967	0.078108162	0.115	0.091744675	0.104522927	0.080414829	0.0116	0.003827407	0.9884	0.003827407	0.900367033	0.078108162
LinDA	100	100	mix	10	0.977686813	0.004519752	0.098486081	0.07945545	0.1265	0.102470734	0.108078809	0.084614054	0.012855556	0.004672419	0.987144444	0.004672419	0.901513919	0.07945545
MaAsLin2	100	100	mix	10	0.972043956	0.010364753	0.099353178	0.067804358	0.1875	0.154314011	0.121205985	0.076439816	0.019238889	0.011536566	0.980761111	0.011536566	0.900646822	0.067804358
Wilcox	100	100	mix	10	0.972675824	0.010688177	0.099836501	0.069743473	0.1775	0.146804317	0.117854113	0.076501198	0.018488889	0.011748887	0.981511111	0.011748887	0.900163499	0.069743473
ZicoSeq	100	100	mix	10	0.989010989	0	0	0	0	0	0	0	0	0	1	0	0	0
ALDEx2_wi	100	100	mix	2	0.987131868	0.001722925	0.112797619	0.250297677	0.025	0.046753927	0.038321086	0.071364068	0.002177778	0.001706994	0.997822222	0.001706994	0.772202381	0.372641299
Corncob	100	100	mix	2	0.987351648	0.00167434	0.07875	0.202165396	0.0185	0.043787403	0.028648574	0.067070631	0.001883333	0.001649164	0.998116667	0.001649164	0.72125	0.412330663
DACOMP	100	100	mix	2	0.986087912	0.004325242	0.06994717	0.14377324	0.029	0.057230908	0.036468868	0.06791061	0.003277778	0.004636752	0.996722222	0.004636752	0.64005283	0.432240897
DESeq2	100	100	mix	2	0.981450549	0.00402906	0.098714465	0.108672247	0.083	0.089728793	0.086154154	0.090173538	0.008566667	0.004096652	0.991433333	0.004096652	0.901285535	0.108672247
fastANCOM	100	100	mix	2	0.988285714	0.001214026	0.043916667	0.185232116	0.007	0.027473148	0.011695638	0.046050468	0.000811111	0.001203372	0.999188889	0.001203372	0.421083333	0.486938491
LEfSe	100	100	mix	2	0.986604396	0.002020545	0.083615079	0.175022875	0.0275	0.052031591	0.039654478	0.075572685	0.002738889	0.002026187	0.997261111	0.002026187	0.836384921	0.301922531
limma_voom	100	100	mix	2	0.986807692	0.001922379	0.10525	0.230901285	0.029	0.054533195	0.041892426	0.076590441	0.00255	0.001963743	0.99745	0.001963743	0.77975	0.362315732
LinDA	100	100	mix	2	0.986263736	0.002227967	0.09474044	0.202908204	0.0315	0.058091506	0.04313811	0.076559259	0.003127778	0.002347336	0.996872222	0.002347336	0.83025956	0.310826124
MaAsLin2	100	100	mix	2	0.986912088	0.002010912	0.088766053	0.20554071	0.024	0.047277647	0.035241507	0.068974238	0.002388889	0.002059208	0.997611111	0.002059208	0.776233947	0.368132479
Wilcox	100	100	mix	2	0.986873626	0.001968234	0.089948773	0.200927539	0.0265	0.051585417	0.038291748	0.073751926	0.002455556	0.002025307	0.997544444	0.002025307	0.800051227	0.344783504
ZicoSeq	100	100	mix	2	0.989010989	0	0	0	0	0	0	0	0	0	1	0	0	0
ALDEx2_wi	100	100	mix	5	0.983208791	0.002830555	0.114380379	0.1355632	0.0785	0.08789984	0.089143896	0.09724985	0.006738889	0.002807109	0.993261111	0.002807109	0.885619621	0.1355632
Corncob	100	100	mix	5	0.982	0.004039589	0.106057889	0.121658625	0.092	0.105315988	0.092538907	0.098960069	0.008111111	0.004371257	0.991888889	0.004371257	0.893942111	0.121658625
DACOMP	100	100	mix	5	0.982708791	0.002340804	0.106040043	0.117057224	0.076	0.080350989	0.087277629	0.092740185	0.007216667	0.001958048	0.992783333	0.001958048	0.893959957	0.117057224
DESeq2	100	100	mix	5	0.975230769	0.005295805	0.094421037	0.072986995	0.147	0.119844958	0.112122926	0.085860653	0.015566667	0.005492089	0.984433333	0.005492089	0.905578963	0.072986995
