name	sample	otu	time
ALDEx2_wi	100	100	3.423258805
ALDEx2_wi	100	200	6.565499532
ALDEx2_wi	100	500	15.35946159
ALDEx2_wi	100	1000	29.09306628
ALDEx2_wi	100	2000	50.91800935
Corncob	100	100	9.94282068
Corncob	100	200	20.07776009
Corncob	100	500	55.49479256
Corncob	100	1000	115.515876
Corncob	100	2000	252.5446995
DACOMP	100	100	0.693037844
DACOMP	100	200	1.4977175
DACOMP	100	500	6.001763952
DACOMP	100	1000	20.73851799
DACOMP	100	2000	76.29372668
DESeq2	100	100	6.744550335
DESeq2	100	200	7.390167463
DESeq2	100	500	9.350558293
DESeq2	100	1000	12.23460194
DESeq2	100	2000	16.01109885
edgeR	100	100	0.239
edgeR	100	200	0.348666667
edgeR	100	500	1.1266
edgeR	100	1000	3.415333333
edgeR	100	2000	6.806666667
fastANCOM	100	100	0.00976454
fastANCOM	100	200	0.017068982
fastANCOM	100	500	0.069447148
fastANCOM	100	1000	0.210831058
fastANCOM	100	2000	0.82043823
LEfSe	100	100	2.20495677
LEfSe	100	200	4.109394836
LEfSe	100	500	11.76820257
LEfSe	100	1000	26.104114
LEfSe	100	2000	63.38723092
limma_voom	100	100	0.548193586
limma_voom	100	200	0.595348608
limma_voom	100	500	0.700795388
limma_voom	100	1000	0.944454169
limma_voom	100	2000	1.033245599
LinDA	100	100	0.113563633
LinDA	100	200	0.216612685
LinDA	100	500	0.524121892
LinDA	100	1000	1.042071581
LinDA	100	2000	2.263672817
MaAsLin2	100	100	21.65504146
MaAsLin2	100	200	30.89354966
MaAsLin2	100	500	63.2802677
MaAsLin2	100	1000	59.08007885
MaAsLin2	100	2000	82.58453928
metagenomeSeq	100	100	1.029628265
metagenomeSeq	100	200	2.029153311
metagenomeSeq	100	500	4.72323513
metagenomeSeq	100	1000	6.97036835
metagenomeSeq	100	2000	11.19487461
Wilcox	100	100	0.32533772
Wilcox	100	200	0.668804872
Wilcox	100	500	1.766294372
Wilcox	100	1000	3.397248983
Wilcox	100	2000	6.151723111
ZicoSeq	100	100	6.521781659
ZicoSeq	100	200	10.04318873
ZicoSeq	100	500	17.31651465
ZicoSeq	100	1000	16.19030818
ZicoSeq	100	2000	19.2506279
MAVD	100	500	11.57796805
MAVD	100	1000	19.3816929
MAVD	100	2000	2064.763663
MAVD	100	100	5.217
MAVD	100	200	7.05888
ALDEx2_wi	500	100	12.796694
ALDEx2_wi	500	200	19.94712791
ALDEx2_wi	500	500	41.81426135
ALDEx2_wi	500	1000	70.39896699
ALDEx2_wi	500	2000	122.1338513
Corncob	500	100	46.84716854
Corncob	500	200	84.20566442
Corncob	500	500	201.4522425
Corncob	500	1000	394.4834056
Corncob	500	2000	707.5982437
DACOMP	500	100	1.518308187
DACOMP	500	200	2.69637866
DACOMP	500	500	10.16637046
DACOMP	500	1000	39.66483985
DACOMP	500	2000	159.543074
DESeq2	500	100	8.865332818
DESeq2	500	200	10.61410289
DESeq2	500	500	14.347759
DESeq2	500	1000	20.89641296
DESeq2	500	2000	31.43991343
edgeR	500	100	0.752445
edgeR	500	200	0.948666667
edgeR	500	500	1.57
edgeR	500	1000	5.488866667
edgeR	500	2000	11.51066667
fastANCOM	500	100	0.025870526
fastANCOM	500	200	0.048747408
fastANCOM	500	500	0.263583922
fastANCOM	500	1000	1.113316453
fastANCOM	500	2000	3.623531365
LEfSe	500	100	5.644198394
LEfSe	500	200	11.58472158
LEfSe	500	500	37.60914804
LEfSe	500	1000	104.2168085
LEfSe	500	2000	249.0345166
limma_voom	500	100	0.796310914
limma_voom	500	200	0.864833117
limma_voom	500	500	1.038511395
limma_voom	500	1000	1.479282391
limma_voom	500	2000	2.089458156
LinDA	500	100	0.158727992
LinDA	500	200	0.273217154
LinDA	500	500	0.65772419
LinDA	500	1000	1.444867194
LinDA	500	2000	3.704394531
MaAsLin2	500	100	40.07743363
MaAsLin2	500	200	68.09629043
MaAsLin2	500	500	154.1189388
MaAsLin2	500	1000	217.7345719
MaAsLin2	500	2000	310.3806183
metagenomeSeq	500	100	2.390029895
metagenomeSeq	500	200	4.215129745
metagenomeSeq	500	500	9.399675369
metagenomeSeq	500	1000	17.33307455
metagenomeSeq	500	2000	29.40911841
Wilcox	500	100	0.515090179
Wilcox	500	200	0.989951098
Wilcox	500	500	2.3753039
Wilcox	500	1000	4.175822985
Wilcox	500	2000	7.266399729
ZicoSeq	500	100	22.55011221
ZicoSeq	500	200	30.17981101
ZicoSeq	500	500	45.91391809
ZicoSeq	500	1000	38.24807242
ZicoSeq	500	2000	43.9367413
MAVD	500	500	2151.467831
MAVD	500	1000	3767.96167
MAVD	500	2000	18154.79228
MAVD	500	100	389.23
MAVD	500	200	810.556
