id	2045653	2527670	3453650	3013653	3293653	3387660	2421651	2829660	2727653	2287660	2917650	2193650	3109650	2921652	3561650	2625653	2337650	3009670	2165652	3435690	2893660	2097653	3075653	3117652	3429653	3537650	3341680	3439680	3005653	2611670	2291653	2911680	2471651	2395670	2007660	3347653	2027653	2409670	2703653	2787660	2457670	2349653	3527670	2901651	2863680	2541670	2619653	2507651	2321650	2177653	3123653	3363660	2277650	2987670	2743650	2389650	3499660	3357650	3215650	2289650	2129660	2617653	3281670	2513680	3421653	2149650	2365651	3191650	2063650	2731670	2145660	2419660	3209651	3081660	3051650	2293650	3339680	2473660	2633670	2355653	2769660	2025653	2903653	2343650	2771670	2203653	3257660	3021690	2537670	2499660	2285653	2329650	2805660	2339651	2695652	3263650	2681650	2665650	2037653	2081660	3335650	3345650	2109653	2057650	3101650	3337650	2085653	3069660	3063660	2879660	3095670	2777670	3313650	2431660	3197670	2367650	3211670	3491650	3503650	3489670	2017660	3405653	3033660	3135660	3119660	2023680	3311680	3053650	3239650	2163653	3485680	3517653	2427660	3511650	3245680	2315650	3501650	2255653	3477660	2167670	2399670	3073680	2195651	3495650	3289650	3221650	3367653	2309650	2341650	3203680	2667653	2305651	2463651	2373690	2161653	2455650	3483651	2997651	2525651	3049660	2853660	3445670	3267660	3381650	3389690	2547670	3065652	2827650	2709650	3529653	3291670	3385670	2465680	2733650	2739651	3043652	3251653	2613650	2105652	2913650	3403653	2835650	3085650	3481660	3137650	2267653	2539660	3427670	3247652	2837680	2907653	2225650	2505651	2955670	3091650	3373660	3321660	2107650	3515660	3271650	2535652	3315650	2147680	2671660	2171690	3415660	2523653	2705653	2543653	3409650	2077653	2157660	2957680	2779670	2325660	2257660	2801653	3023652	2981651	3531650	2841680	2169653	2959660	2675680	3181650	2283670	3125660	2579680	2189650	2405680	3087661	3519670	2187680	3001670	2669660	2043650	3407653	2529680	2677650	3487650	2909653	3185650	3431650	2887670	2575653	3011651	3099680	3301660	3061660	2137650	2073650	2773651	3155690	2019651	2567653	2013660	2629651	3047652	2353670	2603650	3111650	3241660	3323670
k__Archaea._.p__Euryarchaeota._.c__Methanobacteria._.o__Methanobacteriales._.f__Methanobacteriaceae._.g__Methanobrevibacter	5	49	0	723	2267	725	4	1671	26	407	0	11	0	272	1556	0	2	2	1417	68	51	118	2	468	0	17	0	0	29	6	0	21	951	78	0	1	0	0	3	11	0	20	0	0	17	0	0	3	0	103	0	0	0	0	0	177	1	0	0	410	27	0	7	0	4	0	18	0	0	0	125	1	1009	123	960	0	0	0	0	1	0	49	0	0	0	1303	247	1	1	0	0	40	0	4	0	46	0	1	148	0	135	0	4	0	3	14	6	0	0	5207	316	4	0	0	0	230	1	583	0	0	44	0	0	1	0	0	0	0	226	0	680	0	0	0	1	0	34	2	2	2	64	0	0	0	490	0	317	0	0	173	0	364	233	0	1495	501	26	1	965	0	0	0	6	1	0	38	0	0	1	92	0	179	1	1	3	2	2	738	0	1	279	1	1	1533	788	110	33	1	36	35	0	10	45	0	0	639	8	0	53	503	533	6	0	1005	0	0	8	0	0	46	0	0	0	1	2089	0	0	2	0	0	5	1	0	1	56	0	0	0	2	636	3	2056	0	0	33	47	1	228	0	97	241	3	133	0	0	79	0	1479	0	2	0	3	1759	108	0	1	70	0	0	0	195	0	0
k__Archaea._.p__Euryarchaeota._.c__Methanobacteria._.o__Methanobacteriales._.f__Methanobacteriaceae._.g__Methanosphaera	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	0	0	59	0	0	0	0	0	36	0	0	0	0	0	0	397	0	0	0	0	0	0	0	0	0	0
k__Archaea._.p__Euryarchaeota._.c__Thermoplasmata._.o__Methanomassiliicoccales._.f__Methanomassiliicoccaceae._.g__Methanomassiliicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	632	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0
k__Bacteria._.p__._.c__._.o__._.f__._.g__	2	0	0	0	0	13	0	6	0	3	0	1	145	1	17	0	66	29	2	52	0	0	0	0	0	8	14	3	0	1	2	0	1	7	2	0	0	1	2	25	0	0	55	0	1	43	0	0	2	0	0	3	0	104	0	2	1	2	4	19	4	0	6	0	0	19	0	0	0	2	39	2	8	2	144	2	2	6	4	0	4	0	3	0	1	0	5	1	1	13	2	12	0	0	0	4	1	0	1	0	2	0	0	0	0	0	0	0	0	43	10	0	0	1	0	39	6	59	1	4	1	0	23	0	0	4	0	0	12	0	51	0	0	3	0	3	0	4	120	47	1	6	0	17	1	0	3	1	0	1	0	3	1	6	0	0	1	0	3	2	13	0	4	2	1	0	0	0	0	1	3	0	0	2	0	3	0	2	0	0	2	108	0	1	56	2	5	0	1	2	0	7	0	1	15	26	6	0	2	4	0	0	0	2	21	0	4	0	1	0	0	12	10	1	9	0	0	0	0	9	0	0	0	0	0	108	0	3	4	1	5	26	10	1	3	8	0	6	0	16	2	368	7	0	1	5	0	467	0	3	23	0	197	4	22	0	2	1	1	0	2	2	16
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Actinomycetales._.f__._.g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Actinomycetales._.f__Actinomycetaceae._.g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Actinomycetales._.f__Actinomycetaceae._.g__Actinomyces	1	0	75	2	3	35	4	14	5	1	0	0	1	5	2	1	7	48	5	0	0	3	104	16	1	16	1	10	8	0	95	0	1	1	0	11	0	0	6	2	1	2	4	18	0	0	4	8	0	1	2	2	0	5	3	7	0	0	18	13	0	8	2	0	14	8	0	0	0	0	0	11	0	13	7	7	2	1	7	34	2	2	0	12	0	6	6	1	0	0	1	2	1	30	5	40	1	8	11	59	0	5	3	5	1	3	12	1	6	7	0	2	0	0	0	5	16	0	0	0	1	1	10	8	1	0	23	2	12	0	9	2	0	2	0	0	0	6	5	2	0	0	4	0	2	0	0	2	0	0	1	0	1	3	0	6	2	1	0	13	0	66	9	0	1	1	102	7	16	0	14	0	3	1	5	1	2	6	2	80	10	14	0	5	0	1	23	4	4	0	0	0	0	0	0	1	2	0	0	29	2	7	1	1	8	0	4	6	3	0	5	0	12	0	11	2	3	2	11	15	2	1	0	0	0	1	0	1	6	3	8	18	0	2	0	0	0	0	1	0	0	5	1	0	1	3	0	0	23	501	2	13	34	4	43	16	1	0	1	0	0	0	9
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Actinomycetales._.f__Actinomycetaceae._.g__Mobiluncus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Actinomycetales._.f__Actinomycetaceae._.g__Varibaculum	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	1	0	0	0	2	0	0	0	0	0	0	0	0
