id	MAVD	ALDEx2	Corncob	DACOMP	fastANCOM	LEfSe	LinDA	maaslin2	metagenomeSeq	Wilcox
g__Scardovia	1	0	0	0	0	0	0	0	0	0
g__Anaerophaga	1	0	0	0	0	0	0	0	0	0
g__Pediococcus	1	0	0	0	0	0	0	0	0	0
g__Sarcina	1	0	0	0	0	0	0	0	0	0
g__Acetobacterium	1	0	0	0	0	0	0	0	0	0
g__Succiniclasticum	1	0	0	0	0	0	0	0	0	0
g__Anaeroglobus	1	0	0	0	0	0	0	0	0	0
g__Pantoea	1	0	0	0	0	0	0	0	0	0
g__Actinobacillus	1	0	0	0	0	0	0	0	0	0
g__Pyramidobacter	1	0	0	0	0	0	0	0	0	0
g__Staphylococcus	0	0	0	0	0	0	0	1	0	0
g__Methanomassiliicoccus	1	0	0	0	0	0	0	0	0	0
g__Alloscardovia	1	0	0	0	0	0	0	0	0	0
g__Enterococcus	1	0	0	0	0	0	0	0	0	0
g__Weissella	1	0	0	0	0	0	0	0	0	0
g__Lachnoanaerobaculum	1	0	0	0	0	0	0	0	0	0
g__Megamonas	1	0	0	0	0	0	0	0	0	0
g__Ralstonia	1	0	0	0	0	0	0	0	0	0
g__Eikenella	1	0	0	0	0	0	0	0	0	0
g__Neisseria	1	0	0	0	0	0	0	0	0	0
g__Vampirovibrio	1	0	0	0	0	0	0	0	0	0
g__Campylobacter	1	0	0	0	0	0	0	0	0	0
g__Aeromonas	1	0	0	0	0	0	0	0	0	0
g__Morganella	1	0	0	0	0	0	0	0	0	0
g__Gemella	1	0	0	0	0	0	0	0	0	0
g__Catenibacterium	0	0	0	0	0	1	0	0	0	1
g__Victivallis	1	0	0	0	0	0	0	1	0	0
g__Peptoniphilus	1	0	0	0	0	0	0	1	0	0
g__Enterobacter	1	0	0	0	0	0	0	1	0	0
g__Haemophilus	0	0	0	0	1	0	0	1	1	0
g__Collinsella	0	0	1	0	0	1	0	1	0	1
g__Lachnobacterium	0	0	1	0	1	1	1	1	0	1
g__Anaerococcus	1	0	1	0	0	1	1	1	0	1
g__Parvimonas	1	0	1	0	1	1	1	1	1	1
g__Peptostreptococcus	1	0	1	0	1	1	1	1	1	1
g__Fusobacterium	1	0	1	1	1	1	1	1	1	1
g__Porphyromonas	1	1	1	1	1	1	1	1	1	1
