id	MAVD	ALDEx2	Corncob	DACOMP	fastANCOM	LEfSe	MaAsLin2	LinDA	metagenomeSeq	Wilcox
g__Aggregatibacter	1	0	0	0	0	0	0	0	0	0
g__Cloacibacillus	1	0	0	0	0	0	0	0	0	0
g__Ethanoligenens	1	0	0	0	0	0	0	0	0	0
g__Herbaspirillum	1	0	0	0	0	0	0	0	0	0
g__Moryella	1	0	0	0	0	0	0	0	0	0
g__Ornithobacterium	1	0	0	0	0	0	0	0	0	0
g__Providencia	1	0	0	0	0	0	0	0	0	0
g__Salmonella	1	0	0	0	0	0	0	0	0	0
g__Solibacillus	1	0	0	0	0	0	0	0	0	0
g__Citrobacter	1	0	0	0	0	0	0	0	0	0
g__Desulfovibrio	1	0	0	0	0	0	0	0	0	0
g__Enhydrobacter	1	0	0	0	0	0	0	0	0	0
g__Enterobacter	1	0	0	0	0	0	0	0	0	0
g__Leptotrichia	1	0	0	0	0	0	0	0	0	0
g__Lysinibacillus	1	0	0	0	0	0	0	0	0	0
g__Methanobacterium	1	0	0	0	0	0	0	0	0	0
g__Morganella	1	0	0	0	0	0	0	0	0	0
g__Pasteurella	1	0	0	0	0	0	0	0	0	0
g__Pseudoramibacter	1	0	0	0	0	0	0	0	0	0
g__Syntrophococcus	1	0	0	0	0	0	0	0	0	0
g__Treponema	1	0	0	0	0	0	0	0	0	0
g__Barnesiella	1	0	0	0	0	0	0	0	0	0
g__Veillonella	1	0	0	0	0	0	0	0	0	0
g__Comamonas	0	0	0	0	0	1	1	0	0	1
g__Anaerovorax	0	0	0	0	0	1	0	1	0	1
g__Eikenella	1	0	0	0	0	1	1	0	0	1
g__Anaerostipes	0	0	0	1	0	1	1	0	0	0
g__Butyricimonas	1	0	0	0	0	1	0	1	0	1
g__Parvimonas	0	0	0	1	0	1	1	1	1	1
g__Flavonifractor	0	0	1	0	0	1	1	1	0	1
g__Anaerotruncus	1	0	0	0	0	1	1	1	1	1
g__Porphyromonas	1	0	0	1	0	1	1	1	1	1
g__Fusobacterium	1	0	1	1	1	1	1	1	0	1
g__Peptostreptococcus	1	1	1	1	1	1	1	1	1	1
